"","contrast","estimate","SE","df","t.ratio","p.value"
"1","(control D+10) - (drought D+10)",-4.26830000000002,1.35186445471715,14,-3.15734316787925,0.0952055878151333
"2","(control D+10) - (control D+4)",-2.35496666666668,1.35186445471715,14,-1.74201389677,0.663582398232605
"3","(control D+10) - (drought D+4)",-8.88330000000002,1.35186445471715,14,-6.57114695856002,0.000251388265954056
"4","(control D+10) - (control N+10)",-2.45873333333335,1.35186445471715,14,-1.81877208528852,0.618973563059709
"5","(control D+10) - (drought N+10)",-10.454,1.35186445471715,14,-7.73302379800146,4.23511428132572e-05
"6","(control D+10) - (control N+4)",-3.00323333333334,1.35186445471715,14,-2.22154915224966,0.394984289713431
"7","(control D+10) - (drought N+4)",-8.25790000000001,1.35186445471715,14,-6.10852661388141,0.000534236664399002
"8","(drought D+10) - (control D+4)",1.91333333333334,1.35186445471715,14,1.41532927110925,0.836307728480678
"9","(drought D+10) - (drought D+4)",-4.615,1.35186445471715,14,-3.41380379068076,0.0611816889852058
"10","(drought D+10) - (control N+10)",1.80956666666667,1.35186445471715,14,1.33857108259073,0.869386074770114
"11","(drought D+10) - (drought N+10)",-6.1857,1.35186445471715,14,-4.57568063012221,0.00763057629549369
"12","(drought D+10) - (control N+4)",1.26506666666668,1.35186445471715,14,0.935794015629595,0.97669748639772
"13","(drought D+10) - (drought N+4)",-3.9896,1.35186445471715,14,-2.95118344600216,0.134298890315118
"14","(control D+4) - (drought D+4)",-6.52833333333334,1.35186445471715,14,-4.82913306179002,0.00484902606392301
"15","(control D+4) - (control N+10)",-0.103766666666667,1.35186445471715,14,-0.0767581885185215,0.999999998607636
"16","(control D+4) - (drought N+10)",-8.09903333333333,1.35186445471715,14,-5.99100990123146,0.000649570797032983
"17","(control D+4) - (control N+4)",-0.64826666666666,1.35186445471715,14,-0.479535255479659,0.999592829620389
"18","(control D+4) - (drought N+4)",-5.90293333333333,1.35186445471715,14,-4.36651271711141,0.0111177765854104
"19","(drought D+4) - (control N+10)",6.42456666666667,1.35186445471715,14,4.7523748732715,0.00556053908439036
"20","(drought D+4) - (drought N+10)",-1.5707,1.35186445471715,14,-1.16187683944145,0.930345002020696
"21","(drought D+4) - (control N+4)",5.88006666666668,1.35186445471715,14,4.34959780631036,0.0114620168859453
"22","(drought D+4) - (drought N+4)",0.625400000000001,1.35186445471715,14,0.462620344678603,0.999678015481186
"23","(control N+10) - (drought N+10)",-7.99526666666667,1.35186445471715,14,-5.91425171271294,0.000738660591132145
"24","(control N+10) - (control N+4)",-0.544499999999992,1.35186445471715,14,-0.402777066961137,0.999871064960065
"25","(control N+10) - (drought N+4)",-5.79916666666667,1.35186445471715,14,-4.28975452859289,0.0127682704510711
"26","(drought N+10) - (control N+4)",7.45076666666667,1.35186445471715,14,5.5114746457518,0.00146540885089375
"27","(drought N+10) - (drought N+4)",2.1961,1.35186445471715,14,1.62449718412005,0.730094529574526
"28","(control N+4) - (drought N+4)",-5.25466666666667,1.35186445471715,14,-3.88697746163175,0.0263903066496783
