"","contrast","estimate","SE","df","t.ratio","p.value"
"1","(control D+10) - (drought D+10)",-0.559599999999984,4.95136403914759,14,-0.113019361043855,0.999999979265586
"2","(control D+10) - (control D+4)",-19.0235333333333,4.95136403914759,14,-3.84207931045368,0.028606204102841
"3","(control D+10) - (drought D+4)",-23.0088666666667,4.95136403914759,14,-4.64697535562903,0.00671453056383542
"4","(control D+10) - (control N+10)",-23.8401,4.95136403914759,14,-4.81485502005306,0.00497396677617812
"5","(control D+10) - (drought N+10)",-28.9038333333333,4.95136403914759,13.9999999999999,-5.83754963375897,0.000840446260551797
"6","(control D+10) - (control N+4)",-5.74463333333332,4.95136403914759,14,-1.16021227441849,0.930813579007418
"7","(control D+10) - (drought N+4)",-22.6254,4.95136403914759,14,-4.56952868363424,0.0077153355638967
"8","(drought D+10) - (control D+4)",-18.4639333333333,4.95136403914759,14,-3.72905994940983,0.035023084499223
"9","(drought D+10) - (drought D+4)",-22.4492666666667,4.95136403914759,14,-4.53395599458517,0.00822449881560339
"10","(drought D+10) - (control N+10)",-23.2805,4.95136403914759,14,-4.70183565900921,0.00608630423392365
"11","(drought D+10) - (drought N+10)",-28.3442333333333,4.95136403914759,14,-5.72453027271511,0.00101773813608341
"12","(drought D+10) - (control N+4)",-5.18503333333334,4.95136403914759,14,-1.04719291337463,0.95806770872259
"13","(drought D+10) - (drought N+4)",-22.0658,4.95136403914759,14,-4.45650932259039,0.00945386844698648
"14","(control D+4) - (drought D+4)",-3.98533333333333,4.95136403914759,14,-0.804896045175347,0.989942080326806
"15","(control D+4) - (control N+10)",-4.81656666666667,4.95136403914759,14,-0.972775709599385,0.971349393818671
"16","(control D+4) - (drought N+10)",-9.88029999999999,4.95136403914759,14,-1.99547032330528,0.516701091130209
"17","(control D+4) - (control N+4)",13.2789,4.95136403914759,14,2.6818670360352,0.206049600555022
"18","(control D+4) - (drought N+4)",-3.60186666666666,4.95136403914759,14,-0.727449373180556,0.99444009181048
"19","(drought D+4) - (control N+10)",-0.831233333333349,4.95136403914759,14,-0.167879664424038,0.999999674672715
"20","(drought D+4) - (drought N+10)",-5.89496666666667,4.95136403914759,14,-1.19057427812994,0.92195416497304
"21","(drought D+4) - (control N+4)",17.2642333333333,4.95136403914759,14,3.48676308121054,0.0538324286293559
"22","(drought D+4) - (drought N+4)",0.383466666666665,4.95136403914759,14,0.0774466719947907,0.999999998517998
"23","(control N+10) - (drought N+10)",-5.06373333333332,4.95136403914759,14,-1.0226946137059,0.962828735535559
"24","(control N+10) - (control N+4)",18.0954666666667,4.95136403914759,14,3.65464274563458,0.0399930399777525
"25","(control N+10) - (drought N+4)",1.21470000000001,4.95136403914759,14,0.245326336418829,0.999995528190809
"26","(drought N+10) - (control N+4)",23.1592,4.95136403914759,14,4.67733735934048,0.00635910485564739
"27","(drought N+10) - (drought N+4)",6.27843333333334,4.95136403914759,14,1.26802095012473,0.896363321079243
"28","(control N+4) - (drought N+4)",-16.8807666666667,4.95136403914759,14,-3.40931640921575,0.0616634765893486
