Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05971-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA	7.7e-10
BP	GO:0007623	circadian rhythm	Tfasc_v1.00710-RA, Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.21909-RA, Tfasc_v1.23066-RA, Tfasc_v1.24191-RA, Tfasc_v1.29416-RA, Tfasc_v1.33258-RA	1e-06
BP	GO:0042542	response to hydrogen peroxide	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.04954-RA, Tfasc_v1.14652-RA, Tfasc_v1.14688-RA, Tfasc_v1.24191-RA, Tfasc_v1.28042-RA, Tfasc_v1.33258-RA	1.6e-06
BP	GO:0034620	cellular response to unfolded protein	Tfasc_v1.03383-RA, Tfasc_v1.27979-RA, Tfasc_v1.27981-RA, Tfasc_v1.29087-RA, Tfasc_v1.29607-RA, Tfasc_v1.29611-RA	7.1e-05
BP	GO:0009416	response to light stimulus	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.04301-RA, Tfasc_v1.04702-RA, Tfasc_v1.05971-RA, Tfasc_v1.08891-RA, Tfasc_v1.09764-RA, Tfasc_v1.09857-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.11819-RA, Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.15053-RA, Tfasc_v1.16124-RA, Tfasc_v1.16315-RA, Tfasc_v1.21651-RA, Tfasc_v1.21909-RA, Tfasc_v1.22502-RA, Tfasc_v1.22809-RA, Tfasc_v1.24065-RA, Tfasc_v1.24163-RA, Tfasc_v1.24191-RA, Tfasc_v1.24218-RA, Tfasc_v1.25753-RA, Tfasc_v1.26061-RA, Tfasc_v1.29526-RA, Tfasc_v1.33258-RA, Tfasc_v1.33679-RA	0.00013
BP	GO:0009414	response to water deprivation	Tfasc_v1.01254-RA, Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.07962-RA, Tfasc_v1.09214-RA, Tfasc_v1.19709-RA, Tfasc_v1.21651-RA, Tfasc_v1.25175-RA, Tfasc_v1.27689-RA, Tfasc_v1.28586-RA, Tfasc_v1.28863-RA, Tfasc_v1.33258-RA	0.00013
BP	GO:0006809	nitric oxide biosynthetic process	Tfasc_v1.08593-RA, Tfasc_v1.08595-RA, Tfasc_v1.08596-RA	0.00014
BP	GO:0042128	nitrate assimilation	Tfasc_v1.08593-RA, Tfasc_v1.08595-RA, Tfasc_v1.08596-RA	0.00065
BP	GO:0042026	protein refolding	Tfasc_v1.03383-RA, Tfasc_v1.21585-RA, Tfasc_v1.27979-RA, Tfasc_v1.27981-RA, Tfasc_v1.29607-RA, Tfasc_v1.29611-RA	0.00073
BP	GO:0009409	response to cold	Tfasc_v1.06622-RA, Tfasc_v1.07880-RA, Tfasc_v1.07962-RA, Tfasc_v1.08045-RA, Tfasc_v1.08046-RA, Tfasc_v1.09214-RA, Tfasc_v1.13185-RA, Tfasc_v1.14652-RA, Tfasc_v1.25175-RA, Tfasc_v1.27689-RA, Tfasc_v1.28586-RA	0.00125
BP	GO:0006012	galactose metabolic process	Tfasc_v1.09728-RA, Tfasc_v1.09734-RA, Tfasc_v1.09735-RA, Tfasc_v1.27689-RA, Tfasc_v1.27690-RA	0.00136
BP	GO:0051085	chaperone cofactor-dependent protein refolding	Tfasc_v1.03383-RA, Tfasc_v1.18295-RA, Tfasc_v1.27979-RA, Tfasc_v1.27981-RA, Tfasc_v1.29607-RA, Tfasc_v1.29611-RA	0.00155
BP	GO:0006559	L-phenylalanine catabolic process	Tfasc_v1.05549-RB, Tfasc_v1.07643-RA, Tfasc_v1.13919-RA	0.00252
BP	GO:0017014	protein nitrosylation	Tfasc_v1.01880-RA, Tfasc_v1.33258-RA	0.00313
BP	GO:0033484	intracellular nitric oxide homeostasis	Tfasc_v1.01880-RA, Tfasc_v1.33258-RA	0.00313
BP	GO:0009298	GDP-mannose biosynthetic process	Tfasc_v1.21501-RA, Tfasc_v1.21509-RA	0.00313
BP	GO:1903826	L-arginine transmembrane transport	Tfasc_v1.09682-RA, Tfasc_v1.14941-RA	0.00313
BP	GO:0050665	hydrogen peroxide biosynthetic process	Tfasc_v1.01880-RA, Tfasc_v1.33258-RA	0.00613
BP	GO:0006223	uracil salvage	Tfasc_v1.29555-RA, Tfasc_v1.29567-RA	0.00613
BP	GO:1902047	polyamine transmembrane transport	Tfasc_v1.22984-RA, Tfasc_v1.23004-RA	0.00613
BP	GO:0007094	mitotic spindle assembly checkpoint signaling	Tfasc_v1.19856-RA, Tfasc_v1.19861-RA, Tfasc_v1.29690-RA	0.00613
BP	GO:0009773	photosynthetic electron transport in photosystem I	Tfasc_v1.20522-RA, Tfasc_v1.21651-RA, Tfasc_v1.25253-RA	0.00778
BP	GO:0010218	response to far red light	Tfasc_v1.14652-RA, Tfasc_v1.24191-RA, Tfasc_v1.24218-RA	0.00778
BP	GO:0007165	signal transduction	Tfasc_v1.00174-RA, Tfasc_v1.01254-RA, Tfasc_v1.01537-RA, Tfasc_v1.01631-RA, Tfasc_v1.01654-RA, Tfasc_v1.01671-RA, Tfasc_v1.02069-RA, Tfasc_v1.03140-RA, Tfasc_v1.03383-RA, Tfasc_v1.03490-RA, Tfasc_v1.04613-RA, Tfasc_v1.04692-RA, Tfasc_v1.05091-RA, Tfasc_v1.06104-RA, Tfasc_v1.07941-RA, Tfasc_v1.09658-RA, Tfasc_v1.09766-RA, Tfasc_v1.12218-RA, Tfasc_v1.12426-RA, Tfasc_v1.13141-RA, Tfasc_v1.13185-RA, Tfasc_v1.14449-RA, Tfasc_v1.14859-RA, Tfasc_v1.15932-RA, Tfasc_v1.17350-RA, Tfasc_v1.18319-RA, Tfasc_v1.19524-RA, Tfasc_v1.19856-RA, Tfasc_v1.19861-RA, Tfasc_v1.20275-RA, Tfasc_v1.21208-RA, Tfasc_v1.21349-RA, Tfasc_v1.22453-RA, Tfasc_v1.22759-RA, Tfasc_v1.22809-RA, Tfasc_v1.23198-RA, Tfasc_v1.24191-RA, Tfasc_v1.24978-RA, Tfasc_v1.26432-RA, Tfasc_v1.26654-RA, Tfasc_v1.26823-RA, Tfasc_v1.27175-RB, Tfasc_v1.27815-RA, Tfasc_v1.27816-RA, Tfasc_v1.29087-RA, Tfasc_v1.29526-RA, Tfasc_v1.29690-RA, Tfasc_v1.30039-RA	0.00839
BP	GO:0015867	ATP transport	Tfasc_v1.00309-RA, Tfasc_v1.08739-RA, Tfasc_v1.12398-RA, Tfasc_v1.14941-RA, Tfasc_v1.20119-RA, Tfasc_v1.29728-RA	0.00886
BP	GO:0009617	response to bacterium	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.09717-RA, Tfasc_v1.12218-RA, Tfasc_v1.14175-RA, Tfasc_v1.24191-RA, Tfasc_v1.30039-RA, Tfasc_v1.33258-RA	0.00961
BP	GO:0009737	response to abscisic acid	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.04613-RA, Tfasc_v1.09658-RA, Tfasc_v1.10775-RA, Tfasc_v1.19709-RA, Tfasc_v1.20275-RA, Tfasc_v1.22253-RA, Tfasc_v1.24176-RA, Tfasc_v1.24191-RA, Tfasc_v1.26432-RA, Tfasc_v1.27689-RA, Tfasc_v1.30039-RA, Tfasc_v1.33258-RA	0.00971
BP	GO:0005975	carbohydrate metabolic process	Tfasc_v1.00145-RA, Tfasc_v1.00421-RA, Tfasc_v1.01630-RA, Tfasc_v1.01681-RA, Tfasc_v1.02016-RA, Tfasc_v1.03094-RA, Tfasc_v1.04178-RA, Tfasc_v1.04184-RA, Tfasc_v1.06167-RA, Tfasc_v1.06212-RA, Tfasc_v1.06297-RA, Tfasc_v1.06622-RA, Tfasc_v1.07549-RA, Tfasc_v1.07791-RA, Tfasc_v1.07792-RA, Tfasc_v1.07880-RA, Tfasc_v1.07899-RA, Tfasc_v1.07920-RA, Tfasc_v1.09430-RA, Tfasc_v1.09728-RA, Tfasc_v1.09734-RA, Tfasc_v1.09735-RA, Tfasc_v1.13946-RA, Tfasc_v1.13975-RA, Tfasc_v1.14231-RA, Tfasc_v1.14280-RA, Tfasc_v1.14523-RA, Tfasc_v1.15109-RA, Tfasc_v1.15231-RA, Tfasc_v1.15233-RA, Tfasc_v1.15510-RA, Tfasc_v1.16008-RA, Tfasc_v1.20522-RA, Tfasc_v1.20538-RA, Tfasc_v1.20539-RA, Tfasc_v1.21501-RA, Tfasc_v1.21509-RA, Tfasc_v1.22162-RA, Tfasc_v1.22589-RA, Tfasc_v1.23052-RA, Tfasc_v1.23059-RA, Tfasc_v1.24091-RA, Tfasc_v1.27689-RA, Tfasc_v1.27690-RA, Tfasc_v1.28239-RA, Tfasc_v1.28243-RA, Tfasc_v1.28244-RA, Tfasc_v1.28704-RA, Tfasc_v1.29142-RA, Tfasc_v1.32332-RA	0.0099
BP	GO:0006597	spermine biosynthetic process	Tfasc_v1.05044-RA, Tfasc_v1.14175-RA	0.00999
BP	GO:0006013	mannose metabolic process	Tfasc_v1.21501-RA, Tfasc_v1.21509-RA	0.00999
BP	GO:0019941	modification-dependent protein catabolic process	Tfasc_v1.02032-RA, Tfasc_v1.02224-RA, Tfasc_v1.03383-RA, Tfasc_v1.06768-RA, Tfasc_v1.06871-RA, Tfasc_v1.13193-RA, Tfasc_v1.14553-RA, Tfasc_v1.17350-RA, Tfasc_v1.23009-RA	0.01001
BP	GO:0009723	response to ethylene	Tfasc_v1.03490-RA, Tfasc_v1.06884-RA, Tfasc_v1.09658-RA, Tfasc_v1.24191-RA, Tfasc_v1.26432-RA, Tfasc_v1.26823-RA	0.01083
BP	GO:0080167	response to karrikin	Tfasc_v1.08045-RA, Tfasc_v1.08046-RA, Tfasc_v1.09771-RA, Tfasc_v1.14652-RA	0.01091
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.00179-RA, Tfasc_v1.00710-RA, Tfasc_v1.01579-RA, Tfasc_v1.01671-RA, Tfasc_v1.02061-RA, Tfasc_v1.02162-RA, Tfasc_v1.02376-RA, Tfasc_v1.03113-RA, Tfasc_v1.03140-RA, Tfasc_v1.03308-RA, Tfasc_v1.03490-RA, Tfasc_v1.05048-RA, Tfasc_v1.06276-RA, Tfasc_v1.06617-RA, Tfasc_v1.08675-RA, Tfasc_v1.08686-RA, Tfasc_v1.09604-RA, Tfasc_v1.09612-RA, Tfasc_v1.09658-RA, Tfasc_v1.10617-RA, Tfasc_v1.10887-RA, Tfasc_v1.10897-RA, Tfasc_v1.11745-RA, Tfasc_v1.12423-RA, Tfasc_v1.13975-RA, Tfasc_v1.14254-RA, Tfasc_v1.14652-RA, Tfasc_v1.15663-RA, Tfasc_v1.15727-RA, Tfasc_v1.16251-RA, Tfasc_v1.16431-RA, Tfasc_v1.17456-RA, Tfasc_v1.17457-RA, Tfasc_v1.18319-RA, Tfasc_v1.18785-RA, Tfasc_v1.20175-RA, Tfasc_v1.20179-RA, Tfasc_v1.21467-RA, Tfasc_v1.22185-RA, Tfasc_v1.22257-RA, Tfasc_v1.22717-RA, Tfasc_v1.23023-RA, Tfasc_v1.23066-RA, Tfasc_v1.23115-RA, Tfasc_v1.23198-RA, Tfasc_v1.24167-RA, Tfasc_v1.24176-RA, Tfasc_v1.24218-RA, Tfasc_v1.24219-RA, Tfasc_v1.25258-RA, Tfasc_v1.26176-RA, Tfasc_v1.26451-RA, Tfasc_v1.26645-RA, Tfasc_v1.26654-RA, Tfasc_v1.26823-RA, Tfasc_v1.27117-RA, Tfasc_v1.28478-RA, Tfasc_v1.29416-RA, Tfasc_v1.32620-RA, Tfasc_v1.33700-RA	0.01449
BP	GO:1903401	L-lysine transmembrane transport	Tfasc_v1.09682-RA, Tfasc_v1.14941-RA	0.01467
BP	GO:0045487	gibberellin catabolic process	Tfasc_v1.09857-RA, Tfasc_v1.16315-RA	0.01467
BP	GO:0009800	cinnamic acid biosynthetic process	Tfasc_v1.05549-RB, Tfasc_v1.07643-RA	0.01467
BP	GO:0016567	protein ubiquitination	Tfasc_v1.00227-RA, Tfasc_v1.01576-RA, Tfasc_v1.01771-RA, Tfasc_v1.02224-RA, Tfasc_v1.06216-RA, Tfasc_v1.06556-RA, Tfasc_v1.06768-RA, Tfasc_v1.06871-RA, Tfasc_v1.06910-RA, Tfasc_v1.13193-RA, Tfasc_v1.13945-RA, Tfasc_v1.16172-RA, Tfasc_v1.16562-RA, Tfasc_v1.16892-RA, Tfasc_v1.17253-RA, Tfasc_v1.17276-RA, Tfasc_v1.23009-RA, Tfasc_v1.28195-RA, Tfasc_v1.30020-RA	0.01613
BP	GO:0009809	lignin biosynthetic process	Tfasc_v1.08065-RA, Tfasc_v1.09717-RA, Tfasc_v1.28194-RA	0.01679
