Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.05971-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA	1.7e-13
BP	GO:0009416	response to light stimulus	Tfasc_v1.00302-RA, Tfasc_v1.01719-RA, Tfasc_v1.03311-RA, Tfasc_v1.03787-RA, Tfasc_v1.04301-RA, Tfasc_v1.04702-RA, Tfasc_v1.05868-RA, Tfasc_v1.05971-RA, Tfasc_v1.08891-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.14830-RA, Tfasc_v1.15053-RA, Tfasc_v1.16124-RA, Tfasc_v1.16790-RA, Tfasc_v1.21651-RA, Tfasc_v1.21909-RA, Tfasc_v1.22502-RA, Tfasc_v1.22809-RA, Tfasc_v1.23336-RA, Tfasc_v1.24065-RA, Tfasc_v1.24163-RA, Tfasc_v1.24218-RA, Tfasc_v1.24331-RA, Tfasc_v1.25753-RA, Tfasc_v1.26061-RA, Tfasc_v1.33258-RA, Tfasc_v1.33679-RA, Tfasc_v1.33714-RA	4.2e-07
BP	GO:0007623	circadian rhythm	Tfasc_v1.00710-RA, Tfasc_v1.03787-RA, Tfasc_v1.08520-RA, Tfasc_v1.08812-RA, Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.21909-RA, Tfasc_v1.23066-RA, Tfasc_v1.29416-RA, Tfasc_v1.33258-RA	5.5e-06
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.00408-RA, Tfasc_v1.00414-RA, Tfasc_v1.00710-RA, Tfasc_v1.01337-RA, Tfasc_v1.01579-RA, Tfasc_v1.01696-RA, Tfasc_v1.01717-RA, Tfasc_v1.01777-RA, Tfasc_v1.02075-RA, Tfasc_v1.02997-RA, Tfasc_v1.03490-RA, Tfasc_v1.04467-RA, Tfasc_v1.06617-RA, Tfasc_v1.06618-RA, Tfasc_v1.08520-RA, Tfasc_v1.08675-RA, Tfasc_v1.08686-RA, Tfasc_v1.08812-RA, Tfasc_v1.08874-RA, Tfasc_v1.09505-RA, Tfasc_v1.09604-RA, Tfasc_v1.09612-RA, Tfasc_v1.09658-RA, Tfasc_v1.09668-RA, Tfasc_v1.09932-RA, Tfasc_v1.10617-RA, Tfasc_v1.10801-RA, Tfasc_v1.10887-RA, Tfasc_v1.12423-RA, Tfasc_v1.13975-RA, Tfasc_v1.14254-RA, Tfasc_v1.14652-RA, Tfasc_v1.14672-RA, Tfasc_v1.15119-RA, Tfasc_v1.15636-RA, Tfasc_v1.16013-RA, Tfasc_v1.16790-RA, Tfasc_v1.17114-RA, Tfasc_v1.17339-RA, Tfasc_v1.17456-RA, Tfasc_v1.17457-RA, Tfasc_v1.18319-RA, Tfasc_v1.18785-RA, Tfasc_v1.19309-RA, Tfasc_v1.19912-RA, Tfasc_v1.20067-RA, Tfasc_v1.20175-RA, Tfasc_v1.20435-RA, Tfasc_v1.20438-RA, Tfasc_v1.21098-RA, Tfasc_v1.21158-RA, Tfasc_v1.21163-RA, Tfasc_v1.22524-RA, Tfasc_v1.22939-RA, Tfasc_v1.23066-RA, Tfasc_v1.23115-RA, Tfasc_v1.23156-RA, Tfasc_v1.23198-RA, Tfasc_v1.24218-RA, Tfasc_v1.24219-RA, Tfasc_v1.24489-RA, Tfasc_v1.25269-RA, Tfasc_v1.26645-RA, Tfasc_v1.26654-RA, Tfasc_v1.26823-RA, Tfasc_v1.27117-RA, Tfasc_v1.27740-RA, Tfasc_v1.28478-RA, Tfasc_v1.29416-RA, Tfasc_v1.33700-RA	6e-06
BP	GO:0042542	response to hydrogen peroxide	Tfasc_v1.00027-RA, Tfasc_v1.04954-RA, Tfasc_v1.14652-RA, Tfasc_v1.14688-RA, Tfasc_v1.15772-RA, Tfasc_v1.33258-RA	0.00012
BP	GO:0055085	transmembrane transport	Tfasc_v1.00309-RA, Tfasc_v1.00382-RA, Tfasc_v1.00554-RA, Tfasc_v1.00620-RA, Tfasc_v1.01704-RA, Tfasc_v1.01719-RA, Tfasc_v1.01863-RA, Tfasc_v1.02010-RA, Tfasc_v1.02211-RA, Tfasc_v1.02252-RA, Tfasc_v1.03033-RA, Tfasc_v1.03137-RA, Tfasc_v1.03203-RA, Tfasc_v1.03204-RA, Tfasc_v1.03774-RA, Tfasc_v1.04827-RA, Tfasc_v1.06188-RA, Tfasc_v1.06404-RA, Tfasc_v1.06871-RA, Tfasc_v1.07492-RA, Tfasc_v1.07708-RA, Tfasc_v1.07732-RA, Tfasc_v1.08187-RA, Tfasc_v1.08739-RA, Tfasc_v1.08816-RA, Tfasc_v1.09195-RA, Tfasc_v1.09474-RA, Tfasc_v1.09584-RA, Tfasc_v1.11129-RA, Tfasc_v1.12398-RA, Tfasc_v1.14167-RA, Tfasc_v1.14941-RA, Tfasc_v1.16231-RA, Tfasc_v1.16317-RA, Tfasc_v1.18298-RA, Tfasc_v1.18343-RA, Tfasc_v1.18509-RA, Tfasc_v1.19338-RA, Tfasc_v1.20119-RA, Tfasc_v1.20526-RA, Tfasc_v1.20765-RA, Tfasc_v1.22984-RA, Tfasc_v1.23004-RA, Tfasc_v1.23324-RA, Tfasc_v1.23326-RA, Tfasc_v1.24326-RA, Tfasc_v1.28732-RA, Tfasc_v1.29515-RA, Tfasc_v1.29710-RA, Tfasc_v1.29725-RA, Tfasc_v1.30089-RA	0.00047
BP	GO:0010143	cutin biosynthetic process	Tfasc_v1.13106-RA, Tfasc_v1.13108-RA, Tfasc_v1.26603-RA, Tfasc_v1.28886-RA	0.00084
BP	GO:0006012	galactose metabolic process	Tfasc_v1.09728-RA, Tfasc_v1.09734-RA, Tfasc_v1.09735-RA, Tfasc_v1.27689-RA, Tfasc_v1.27690-RA	0.00093
BP	GO:0009938	negative regulation of gibberellic acid mediated signaling pathway	Tfasc_v1.09658-RA, Tfasc_v1.09668-RA, Tfasc_v1.25269-RA	0.00134
BP	GO:0042546	cell wall biogenesis	Tfasc_v1.02227-RA, Tfasc_v1.06053-RA, Tfasc_v1.06297-RA, Tfasc_v1.08162-RA, Tfasc_v1.08164-RA, Tfasc_v1.15510-RA, Tfasc_v1.22711-RA, Tfasc_v1.26654-RA, Tfasc_v1.26788-RA, Tfasc_v1.27593-RA	0.0021
