Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.05971-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA, Tfasc_v1.31780-RA	3.3e-13
BP	GO:0015979	photosynthesis	Tfasc_v1.01263-RA, Tfasc_v1.02358-RA, Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.05971-RA, Tfasc_v1.07719-RA, Tfasc_v1.09192-RA, Tfasc_v1.09267-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.10808-RA, Tfasc_v1.11896-RA, Tfasc_v1.11918-RA, Tfasc_v1.11940-RA, Tfasc_v1.13173-RA, Tfasc_v1.13901-RA, Tfasc_v1.15013-RA, Tfasc_v1.15015-RA, Tfasc_v1.15053-RA, Tfasc_v1.15064-RA, Tfasc_v1.17563-RA, Tfasc_v1.18796-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.24218-RA, Tfasc_v1.24409-RA, Tfasc_v1.25642-RA, Tfasc_v1.25644-RA, Tfasc_v1.25753-RA, Tfasc_v1.26194-RA, Tfasc_v1.26620-RA, Tfasc_v1.27705-RA, Tfasc_v1.29968-RA, Tfasc_v1.30578-RA, Tfasc_v1.31345-RA, Tfasc_v1.31780-RA, Tfasc_v1.32700-RA, Tfasc_v1.32707-RA, Tfasc_v1.32709-RA, Tfasc_v1.32711-RA, Tfasc_v1.32723-RA, Tfasc_v1.32725-RA	1.2e-09
BP	GO:0055085	transmembrane transport	Tfasc_v1.00332-RA, Tfasc_v1.00336-RA, Tfasc_v1.00345-RA, Tfasc_v1.00554-RA, Tfasc_v1.00620-RA, Tfasc_v1.00773-RA, Tfasc_v1.01163-RA, Tfasc_v1.01365-RA, Tfasc_v1.01392-RA, Tfasc_v1.01915-RA, Tfasc_v1.01954-RA, Tfasc_v1.01957-RA, Tfasc_v1.01960-RA, Tfasc_v1.01999-RA, Tfasc_v1.02010-RA, Tfasc_v1.02144-RA, Tfasc_v1.02358-RA, Tfasc_v1.02994-RA, Tfasc_v1.03137-RA, Tfasc_v1.03326-RA, Tfasc_v1.03869-RA, Tfasc_v1.04261-RA, Tfasc_v1.04551-RA, Tfasc_v1.04552-RA, Tfasc_v1.04706-RA, Tfasc_v1.04709-RA, Tfasc_v1.05130-RA, Tfasc_v1.05924-RA, Tfasc_v1.06516-RA, Tfasc_v1.06722-RA, Tfasc_v1.07651-RA, Tfasc_v1.07708-RA, Tfasc_v1.08116-RA, Tfasc_v1.08816-RA, Tfasc_v1.08903-RA, Tfasc_v1.08998-RA, Tfasc_v1.09420-RA, Tfasc_v1.10598-RA, Tfasc_v1.10599-RA, Tfasc_v1.10834-RA, Tfasc_v1.10848-RA, Tfasc_v1.11254-RA, Tfasc_v1.12133-RA, Tfasc_v1.12137-RA, Tfasc_v1.12527-RA, Tfasc_v1.12528-RA, Tfasc_v1.13683-RA, Tfasc_v1.14188-RA, Tfasc_v1.14256-RA, Tfasc_v1.14790-RA, Tfasc_v1.15730-RA, Tfasc_v1.15938-RA, Tfasc_v1.16095-RA, Tfasc_v1.16316-RA, Tfasc_v1.16317-RA, Tfasc_v1.16694-RA, Tfasc_v1.17391-RA, Tfasc_v1.17472-RA, Tfasc_v1.17626-RA, Tfasc_v1.17674-RA, Tfasc_v1.17680-RA, Tfasc_v1.17702-RA, Tfasc_v1.18336-RA, Tfasc_v1.18343-RA, Tfasc_v1.18509-RA, Tfasc_v1.18795-RA, Tfasc_v1.19392-RA, Tfasc_v1.19709-RA, Tfasc_v1.20025-RA, Tfasc_v1.20119-RA, Tfasc_v1.20354-RA, Tfasc_v1.20765-RA, Tfasc_v1.21432-RA, Tfasc_v1.22265-RA, Tfasc_v1.22304-RA, Tfasc_v1.22405-RA, Tfasc_v1.22664-RA, Tfasc_v1.22984-RA, Tfasc_v1.23297-RB, Tfasc_v1.23735-RA, Tfasc_v1.24464-RA, Tfasc_v1.25175-RA, Tfasc_v1.26778-RA, Tfasc_v1.26858-RA, Tfasc_v1.27635-RA, Tfasc_v1.28079-RA, Tfasc_v1.28082-RA, Tfasc_v1.28863-RA, Tfasc_v1.29515-RA, Tfasc_v1.29725-RA, Tfasc_v1.29776-RA, Tfasc_v1.30148-RA, Tfasc_v1.30160-RA, Tfasc_v1.30353-RA, Tfasc_v1.30820-RA, Tfasc_v1.32708-RA	7.2e-07
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.00133-RA, Tfasc_v1.00179-RA, Tfasc_v1.00253-RA, Tfasc_v1.00371-RA, Tfasc_v1.00408-RA, Tfasc_v1.00411-RA, Tfasc_v1.00549-RA, Tfasc_v1.00931-RA, Tfasc_v1.01363-RA, Tfasc_v1.01409-RA, Tfasc_v1.01579-RA, Tfasc_v1.01582-RA, Tfasc_v1.01605-RA, Tfasc_v1.01777-RA, Tfasc_v1.02072-RA, Tfasc_v1.02162-RA, Tfasc_v1.02250-RA, Tfasc_v1.02376-RA, Tfasc_v1.03113-RA, Tfasc_v1.03490-RA, Tfasc_v1.04467-RA, Tfasc_v1.04767-RA, Tfasc_v1.04959-RA, Tfasc_v1.05651-RA, Tfasc_v1.06276-RA, Tfasc_v1.06351-RA, Tfasc_v1.06575-RA, Tfasc_v1.06889-RA, Tfasc_v1.07084-RA, Tfasc_v1.07523-RA, Tfasc_v1.08059-RA, Tfasc_v1.08084-RA, Tfasc_v1.08675-RA, Tfasc_v1.08686-RA, Tfasc_v1.08870-RA, Tfasc_v1.09375-RA, Tfasc_v1.09498-RA, Tfasc_v1.09505-RA, Tfasc_v1.09512-RA, Tfasc_v1.09604-RA, Tfasc_v1.09612-RA, Tfasc_v1.09781-RA, Tfasc_v1.10617-RA, Tfasc_v1.10757-RA, Tfasc_v1.11944-RA, Tfasc_v1.12495-RA, Tfasc_v1.14071-RA, Tfasc_v1.14225-RA, Tfasc_v1.14672-RA, Tfasc_v1.14807-RA, Tfasc_v1.14819-RA, Tfasc_v1.14943-RA, Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.15636-RA, Tfasc_v1.16251-RA, Tfasc_v1.16271-RA, Tfasc_v1.16431-RA, Tfasc_v1.17468-RA, Tfasc_v1.19309-RA, Tfasc_v1.19672-RA, Tfasc_v1.19909-RA, Tfasc_v1.19943-RA, Tfasc_v1.20067-RA, Tfasc_v1.20141-RA, Tfasc_v1.21098-RA, Tfasc_v1.21103-RA, Tfasc_v1.21158-RA, Tfasc_v1.21163-RA, Tfasc_v1.21186-RA, Tfasc_v1.21467-RA, Tfasc_v1.22185-RA, Tfasc_v1.22717-RA, Tfasc_v1.22790-RA, Tfasc_v1.22959-RA, Tfasc_v1.23156-RA, Tfasc_v1.23181-RA, Tfasc_v1.23198-RA, Tfasc_v1.24114-RA, Tfasc_v1.24162-RA, Tfasc_v1.24176-RA, Tfasc_v1.24218-RA, Tfasc_v1.24353-RA, Tfasc_v1.24378-RA, Tfasc_v1.24974-RA, Tfasc_v1.25177-RA, Tfasc_v1.27673-RA, Tfasc_v1.27841-RA, Tfasc_v1.27841-RB, Tfasc_v1.27879-RA, Tfasc_v1.28016-RA, Tfasc_v1.28405-RA, Tfasc_v1.28996-RA, Tfasc_v1.29974-RA, Tfasc_v1.30044-RA, Tfasc_v1.30266-RA, Tfasc_v1.30267-RA, Tfasc_v1.30705-RA, Tfasc_v1.32247-RA, Tfasc_v1.32392-RA	2.9e-05
BP	GO:0009416	response to light stimulus	Tfasc_v1.03311-RA, Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.05924-RA, Tfasc_v1.05971-RA, Tfasc_v1.06080-RA, Tfasc_v1.06351-RA, Tfasc_v1.09192-RA, Tfasc_v1.09404-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.14830-RA, Tfasc_v1.15053-RA, Tfasc_v1.16315-RA, Tfasc_v1.18618-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.24218-RA, Tfasc_v1.25753-RA, Tfasc_v1.29526-RA, Tfasc_v1.31780-RA	5.7e-05
BP	GO:0010268	brassinosteroid homeostasis	Tfasc_v1.09404-RA, Tfasc_v1.16061-RA, Tfasc_v1.16184-RA, Tfasc_v1.23675-RA, Tfasc_v1.23678-RA, Tfasc_v1.28182-RA	0.00055
BP	GO:0008295	spermidine biosynthetic process	Tfasc_v1.01725-RA, Tfasc_v1.01727-RA, Tfasc_v1.01731-RA, Tfasc_v1.05044-RA	0.00105
BP	GO:0009738	abscisic acid-activated signaling pathway	Tfasc_v1.09359-RA, Tfasc_v1.09614-RA, Tfasc_v1.14761-RA, Tfasc_v1.20275-RA, Tfasc_v1.22664-RA, Tfasc_v1.25374-RA, Tfasc_v1.27451-RA, Tfasc_v1.27589-RA, Tfasc_v1.27843-RA, Tfasc_v1.29709-RA	0.00116
BP	GO:0019310	inositol catabolic process	Tfasc_v1.09438-RA, Tfasc_v1.14231-RA	0.00204
BP	GO:0080163	regulation of protein serine/threonine phosphatase activity	Tfasc_v1.14761-RA, Tfasc_v1.27451-RA, Tfasc_v1.27589-RA, Tfasc_v1.27843-RA, Tfasc_v1.29709-RA	0.00206
