Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.10775-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.31780-RA	1.1e-07
BP	GO:0055085	transmembrane transport	Tfasc_v1.00332-RA, Tfasc_v1.00336-RA, Tfasc_v1.00345-RA, Tfasc_v1.00554-RA, Tfasc_v1.00620-RA, Tfasc_v1.00773-RA, Tfasc_v1.01365-RA, Tfasc_v1.01957-RA, Tfasc_v1.02144-RA, Tfasc_v1.07651-RA, Tfasc_v1.08116-RA, Tfasc_v1.10598-RA, Tfasc_v1.10599-RA, Tfasc_v1.12527-RA, Tfasc_v1.12528-RA, Tfasc_v1.13683-RA, Tfasc_v1.14256-RA, Tfasc_v1.14790-RA, Tfasc_v1.16095-RA, Tfasc_v1.16316-RA, Tfasc_v1.17626-RA, Tfasc_v1.17674-RA, Tfasc_v1.18343-RA, Tfasc_v1.19392-RA, Tfasc_v1.20119-RA, Tfasc_v1.21432-RA, Tfasc_v1.22265-RA, Tfasc_v1.22405-RA, Tfasc_v1.23297-RB, Tfasc_v1.23735-RA, Tfasc_v1.26778-RA, Tfasc_v1.28079-RA, Tfasc_v1.28863-RA	5.9e-06
BP	GO:0015979	photosynthesis	Tfasc_v1.01263-RA, Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.07719-RA, Tfasc_v1.10775-RA, Tfasc_v1.11896-RA, Tfasc_v1.11918-RA, Tfasc_v1.13173-RA, Tfasc_v1.13901-RA, Tfasc_v1.17563-RA, Tfasc_v1.18796-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.24409-RA, Tfasc_v1.25642-RA, Tfasc_v1.25644-RA, Tfasc_v1.26194-RA, Tfasc_v1.29968-RA, Tfasc_v1.31780-RA	1.7e-05
BP	GO:0033388	putrescine biosynthetic process from arginine	Tfasc_v1.01725-RA, Tfasc_v1.01727-RA	0.0043
BP	GO:0006527	arginine catabolic process	Tfasc_v1.01725-RA, Tfasc_v1.01727-RA	0.0057
BP	GO:0008295	spermidine biosynthetic process	Tfasc_v1.01725-RA, Tfasc_v1.01727-RA	0.0109
BP	GO:0042908	xenobiotic transport	Tfasc_v1.00554-RA, Tfasc_v1.12527-RA, Tfasc_v1.12528-RA, Tfasc_v1.23735-RA	0.0119
BP	GO:0035019	somatic stem cell population maintenance	Tfasc_v1.20473-RA	0.0148
BP	GO:0032055	negative regulation of translation in response to stress	Tfasc_v1.00068-RA	0.0148
BP	GO:0010401	pectic galactan metabolic process	Tfasc_v1.00011-RA	0.0148
BP	GO:0046949	fatty-acyl-CoA biosynthetic process	Tfasc_v1.07919-RA	0.0148
BP	GO:0090414	molybdate ion export from vacuole	Tfasc_v1.17626-RA	0.0148
BP	GO:0009970	cellular response to sulfate starvation	Tfasc_v1.03296-RA	0.0148
BP	GO:0009769	photosynthesis, light harvesting in photosystem II	Tfasc_v1.10775-RA	0.0148
BP	GO:0010143	cutin biosynthetic process	Tfasc_v1.29585-RA, Tfasc_v1.29586-RA	0.0201
BP	GO:0009737	response to abscisic acid	Tfasc_v1.00011-RA, Tfasc_v1.10775-RA, Tfasc_v1.17137-RA, Tfasc_v1.20067-RA, Tfasc_v1.24176-RA, Tfasc_v1.27843-RA	0.0245
BP	GO:0010207	photosystem II assembly	Tfasc_v1.13173-RA, Tfasc_v1.17563-RA	0.0255
BP	GO:0006541	glutamine metabolic process	Tfasc_v1.18839-RA, Tfasc_v1.18842-RA, Tfasc_v1.19507-RA, Tfasc_v1.25239-RA	0.0267
BP	GO:0071365	cellular response to auxin stimulus	Tfasc_v1.04767-RA, Tfasc_v1.20122-RA, Tfasc_v1.24378-RA, Tfasc_v1.27837-RA	0.0291
BP	GO:0048657	anther wall tapetum cell differentiation	Tfasc_v1.09404-RA	0.0293
BP	GO:0019310	inositol catabolic process	Tfasc_v1.14231-RA	0.0293
BP	GO:0001578	microtubule bundle formation	Tfasc_v1.09404-RA	0.0293
BP	GO:0042794	plastid rRNA transcription	Tfasc_v1.32392-RA	0.0293
BP	GO:0006833	water transport	Tfasc_v1.07651-RA, Tfasc_v1.28863-RA	0.0347
BP	GO:0001676	long-chain fatty acid metabolic process	Tfasc_v1.07919-RA, Tfasc_v1.14176-RA, Tfasc_v1.20070-RA	0.0411
BP	GO:0015813	L-glutamate transmembrane transport	Tfasc_v1.16316-RA	0.0437
BP	GO:0010424	DNA methylation on cytosine within a CG sequence	Tfasc_v1.19447-RA	0.0437
BP	GO:1901703	protein localization involved in auxin polar transport	Tfasc_v1.27837-RA	0.0437
BP	GO:0010586	miRNA metabolic process	Tfasc_v1.20473-RA	0.0437
BP	GO:0090116	C-5 methylation of cytosine	Tfasc_v1.19447-RA	0.0437
BP	GO:0010268	brassinosteroid homeostasis	Tfasc_v1.09404-RA, Tfasc_v1.16061-RA	0.0484
MF	GO:0020037	heme binding	Tfasc_v1.04698-RA, Tfasc_v1.05450-RA, Tfasc_v1.06011-RA, Tfasc_v1.09057-RA, Tfasc_v1.10443-RA, Tfasc_v1.10455-RA, Tfasc_v1.12070-RA, Tfasc_v1.12411-RA, Tfasc_v1.12471-RA, Tfasc_v1.16061-RA, Tfasc_v1.17160-RA, Tfasc_v1.17162-RA, Tfasc_v1.17163-RA, Tfasc_v1.17165-RA, Tfasc_v1.17173-RA, Tfasc_v1.17175-RA, Tfasc_v1.18354-RA, Tfasc_v1.19450-RA, Tfasc_v1.23629-RA, Tfasc_v1.28072-RA, Tfasc_v1.28377-RA, Tfasc_v1.31035-RA, Tfasc_v1.31036-RA	1.3e-08
MF	GO:0016168	chlorophyll binding	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.10775-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25644-RA, Tfasc_v1.31780-RA	1e-07
MF	GO:0005506	iron ion binding	Tfasc_v1.04698-RA, Tfasc_v1.05450-RA, Tfasc_v1.06011-RA, Tfasc_v1.10443-RA, Tfasc_v1.10455-RA, Tfasc_v1.12070-RA, Tfasc_v1.12471-RA, Tfasc_v1.14231-RA, Tfasc_v1.16061-RA, Tfasc_v1.17160-RA, Tfasc_v1.17162-RA, Tfasc_v1.17163-RA, Tfasc_v1.17165-RA, Tfasc_v1.17173-RA, Tfasc_v1.17175-RA, Tfasc_v1.18354-RA, Tfasc_v1.28072-RA, Tfasc_v1.28377-RA, Tfasc_v1.31035-RA, Tfasc_v1.31036-RA	1.1e-07
MF	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	Tfasc_v1.04698-RA, Tfasc_v1.05450-RA, Tfasc_v1.12070-RA, Tfasc_v1.17160-RA, Tfasc_v1.17162-RA, Tfasc_v1.17163-RA, Tfasc_v1.17165-RA, Tfasc_v1.17173-RA, Tfasc_v1.17175-RA, Tfasc_v1.18354-RA, Tfasc_v1.19929-RA, Tfasc_v1.28072-RA, Tfasc_v1.31035-RA, Tfasc_v1.31036-RA	4.2e-07
MF	GO:0042626	ATPase-coupled transmembrane transporter activity	Tfasc_v1.01365-RA, Tfasc_v1.08116-RA, Tfasc_v1.10598-RA, Tfasc_v1.10599-RA, Tfasc_v1.14790-RA, Tfasc_v1.16095-RA, Tfasc_v1.17674-RA, Tfasc_v1.18343-RA, Tfasc_v1.26778-RA	0.0014
MF	GO:0008792	arginine decarboxylase activity	Tfasc_v1.01725-RA, Tfasc_v1.01727-RA	0.0029
MF	GO:0047274	galactinol-sucrose galactosyltransferase activity	Tfasc_v1.08046-RA, Tfasc_v1.17137-RA	0.004
MF	GO:0008422	beta-glucosidase activity	Tfasc_v1.03091-RA, Tfasc_v1.16008-RA, Tfasc_v1.24963-RA	0.0065
MF	GO:0090447	glycerol-3-phosphate 2-O-acyltransferase activity	Tfasc_v1.29585-RA, Tfasc_v1.29586-RA	0.0084
