Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.05971-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA	3.8e-11
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.00408-RA, Tfasc_v1.01143-RA, Tfasc_v1.01363-RA, Tfasc_v1.01696-RA, Tfasc_v1.01717-RA, Tfasc_v1.02053-RA, Tfasc_v1.02158-RA, Tfasc_v1.02300-RA, Tfasc_v1.02437-RA, Tfasc_v1.02439-RA, Tfasc_v1.03140-RA, Tfasc_v1.03490-RA, Tfasc_v1.03880-RA, Tfasc_v1.04718-RA, Tfasc_v1.04959-RA, Tfasc_v1.05048-RA, Tfasc_v1.05143-RA, Tfasc_v1.05521-RA, Tfasc_v1.05653-RA, Tfasc_v1.05654-RA, Tfasc_v1.06276-RA, Tfasc_v1.06617-RA, Tfasc_v1.06618-RA, Tfasc_v1.06811-RA, Tfasc_v1.07872-RA, Tfasc_v1.08084-RA, Tfasc_v1.08107-RA, Tfasc_v1.08150-RA, Tfasc_v1.09340-RA, Tfasc_v1.09505-RA, Tfasc_v1.09604-RA, Tfasc_v1.09658-RA, Tfasc_v1.09668-RA, Tfasc_v1.10757-RA, Tfasc_v1.10801-RA, Tfasc_v1.10868-RA, Tfasc_v1.10887-RA, Tfasc_v1.10916-RA, Tfasc_v1.11005-RA, Tfasc_v1.11745-RA, Tfasc_v1.11835-RA, Tfasc_v1.12110-RA, Tfasc_v1.12111-RA, Tfasc_v1.12310-RA, Tfasc_v1.12384-RA, Tfasc_v1.12425-RA, Tfasc_v1.12494-RA, Tfasc_v1.12495-RA, Tfasc_v1.13645-RA, Tfasc_v1.13975-RA, Tfasc_v1.14071-RA, Tfasc_v1.14172-RA, Tfasc_v1.14225-RA, Tfasc_v1.14452-RA, Tfasc_v1.14652-RA, Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.15636-RA, Tfasc_v1.15727-RA, Tfasc_v1.16050-RA, Tfasc_v1.16160-RA, Tfasc_v1.16205-RA, Tfasc_v1.16266-RA, Tfasc_v1.16790-RA, Tfasc_v1.17114-RA, Tfasc_v1.17224-RA, Tfasc_v1.17456-RA, Tfasc_v1.17457-RA, Tfasc_v1.17934-RA, Tfasc_v1.18392-RA, Tfasc_v1.18785-RA, Tfasc_v1.19302-RA, Tfasc_v1.19305-RA, Tfasc_v1.19943-RA, Tfasc_v1.20175-RA, Tfasc_v1.20435-RA, Tfasc_v1.20438-RA, Tfasc_v1.21098-RA, Tfasc_v1.21103-RA, Tfasc_v1.21186-RA, Tfasc_v1.21767-RA, Tfasc_v1.22107-RA, Tfasc_v1.22185-RA, Tfasc_v1.22392-RA, Tfasc_v1.22497-RA, Tfasc_v1.22605-RA, Tfasc_v1.22656-RA, Tfasc_v1.22842-RA, Tfasc_v1.22892-RA, Tfasc_v1.23001-RA, Tfasc_v1.23015-RA, Tfasc_v1.23066-RA, Tfasc_v1.24013-RA, Tfasc_v1.24082-RA, Tfasc_v1.24182-RA, Tfasc_v1.24489-RA, Tfasc_v1.25013-RA, Tfasc_v1.25158-RA, Tfasc_v1.25269-RA, Tfasc_v1.25311-RA, Tfasc_v1.25425-RA, Tfasc_v1.26176-RA, Tfasc_v1.26645-RA, Tfasc_v1.26791-RA, Tfasc_v1.26823-RA, Tfasc_v1.27740-RA, Tfasc_v1.27753-RA, Tfasc_v1.27793-RA, Tfasc_v1.27800-RA, Tfasc_v1.27879-RA, Tfasc_v1.28196-RB, Tfasc_v1.28537-RA, Tfasc_v1.29416-RA, Tfasc_v1.29539-RA, Tfasc_v1.30572-RA, Tfasc_v1.32018-RA, Tfasc_v1.32620-RA, Tfasc_v1.33700-RA	6.8e-09
BP	GO:1900150	regulation of defense response to fungus	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.22595-RA, Tfasc_v1.26441-RA, Tfasc_v1.27788-RA, Tfasc_v1.30112-RA	4.9e-05
BP	GO:1901002	positive regulation of response to salt stress	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.19302-RA, Tfasc_v1.19305-RA, Tfasc_v1.24491-RA, Tfasc_v1.27908-RA	7.5e-05
BP	GO:0009416	response to light stimulus	Tfasc_v1.04301-RA, Tfasc_v1.04702-RA, Tfasc_v1.05868-RA, Tfasc_v1.05902-RA, Tfasc_v1.05905-RA, Tfasc_v1.05971-RA, Tfasc_v1.06080-RA, Tfasc_v1.06266-RA, Tfasc_v1.08658-RA, Tfasc_v1.08891-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.11639-RA, Tfasc_v1.11819-RA, Tfasc_v1.13975-RA, Tfasc_v1.14452-RA, Tfasc_v1.14652-RA, Tfasc_v1.15053-RA, Tfasc_v1.16050-RA, Tfasc_v1.16315-RA, Tfasc_v1.16426-RA, Tfasc_v1.16790-RA, Tfasc_v1.21651-RA, Tfasc_v1.22497-RA, Tfasc_v1.22502-RA, Tfasc_v1.22809-RA, Tfasc_v1.22935-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA, Tfasc_v1.27908-RA	0.00011
BP	GO:0006468	protein phosphorylation	Tfasc_v1.01254-RA, Tfasc_v1.01654-RA, Tfasc_v1.02266-RA, Tfasc_v1.02938-RA, Tfasc_v1.03128-RA, Tfasc_v1.03501-RA, Tfasc_v1.03663-RA, Tfasc_v1.04384-RA, Tfasc_v1.04427-RA, Tfasc_v1.04613-RA, Tfasc_v1.04740-RA, Tfasc_v1.05473-RA, Tfasc_v1.05996-RA, Tfasc_v1.06058-RA, Tfasc_v1.07619-RA, Tfasc_v1.07973-RA, Tfasc_v1.08361-RA, Tfasc_v1.09441-RA, Tfasc_v1.09639-RA, Tfasc_v1.09673-RA, Tfasc_v1.10785-RA, Tfasc_v1.10817-RA, Tfasc_v1.11979-RA, Tfasc_v1.11980-RA, Tfasc_v1.12218-RA, Tfasc_v1.12602-RA, Tfasc_v1.12888-RA, Tfasc_v1.13141-RA, Tfasc_v1.13185-RA, Tfasc_v1.13404-RA, Tfasc_v1.13405-RA, Tfasc_v1.14072-RA, Tfasc_v1.14520-RA, Tfasc_v1.14859-RA, Tfasc_v1.16160-RA, Tfasc_v1.16172-RA, Tfasc_v1.16454-RA, Tfasc_v1.17142-RA, Tfasc_v1.18221-RA, Tfasc_v1.18627-RA, Tfasc_v1.18786-RA, Tfasc_v1.18855-RA, Tfasc_v1.20184-RA, Tfasc_v1.20275-RA, Tfasc_v1.20493-RA, Tfasc_v1.21571-RA, Tfasc_v1.21585-RA, Tfasc_v1.21613-RA, Tfasc_v1.21696-RA, Tfasc_v1.21703-RB, Tfasc_v1.22453-RA, Tfasc_v1.22455-RA, Tfasc_v1.22595-RA, Tfasc_v1.22621-RA, Tfasc_v1.22832-RA, Tfasc_v1.22860-RA, Tfasc_v1.23046-RA, Tfasc_v1.23089-RA, Tfasc_v1.23419-RA, Tfasc_v1.23446-RA, Tfasc_v1.23546-RA, Tfasc_v1.24205-RA, Tfasc_v1.24209-RA, Tfasc_v1.24407-RA, Tfasc_v1.24491-RA, Tfasc_v1.24687-RA, Tfasc_v1.24958-RA, Tfasc_v1.25137-RA, Tfasc_v1.25627-RA, Tfasc_v1.25628-RA, Tfasc_v1.25810-RA, Tfasc_v1.25852-RA, Tfasc_v1.26593-RA, Tfasc_v1.26900-RA, Tfasc_v1.27618-RA, Tfasc_v1.27619-RA, Tfasc_v1.27708-RA, Tfasc_v1.27815-RA, Tfasc_v1.27816-RA, Tfasc_v1.27857-RA, Tfasc_v1.27881-RA, Tfasc_v1.27958-RB, Tfasc_v1.28605-RA, Tfasc_v1.28608-RA, Tfasc_v1.29930-RA, Tfasc_v1.30039-RA, Tfasc_v1.30112-RA, Tfasc_v1.30670-RA, Tfasc_v1.31220-RA, Tfasc_v1.31228-RA, Tfasc_v1.31230-RA, Tfasc_v1.32728-RA	0.00049
BP	GO:0006629	lipid metabolic process	Tfasc_v1.01343-RA, Tfasc_v1.01361-RA, Tfasc_v1.01454-RA, Tfasc_v1.01468-RA, Tfasc_v1.01476-RA, Tfasc_v1.01537-RA, Tfasc_v1.02082-RA, Tfasc_v1.02374-RA, Tfasc_v1.03610-RA, Tfasc_v1.04570-RA, Tfasc_v1.04702-RA, Tfasc_v1.05024-RA, Tfasc_v1.05655-RA, Tfasc_v1.06015-RA, Tfasc_v1.06031-RA, Tfasc_v1.06289-RA, Tfasc_v1.06465-RA, Tfasc_v1.07592-RA, Tfasc_v1.08099-RA, Tfasc_v1.08463-RA, Tfasc_v1.08465-RA, Tfasc_v1.09636-RA, Tfasc_v1.09637-RA, Tfasc_v1.09717-RA, Tfasc_v1.09761-RA, Tfasc_v1.11891-RA, Tfasc_v1.11910-RA, Tfasc_v1.12147-RA, Tfasc_v1.12825-RA, Tfasc_v1.13227-RA, Tfasc_v1.14176-RA, Tfasc_v1.14483-RA, Tfasc_v1.16315-RA, Tfasc_v1.17659-RA, Tfasc_v1.18246-RA, Tfasc_v1.18617-RA, Tfasc_v1.19374-RA, Tfasc_v1.19375-RA, Tfasc_v1.19379-RA, Tfasc_v1.19538-RA, Tfasc_v1.20239-RA, Tfasc_v1.21912-RA, Tfasc_v1.22935-RA, Tfasc_v1.23037-RA, Tfasc_v1.23676-RA, Tfasc_v1.23678-RA, Tfasc_v1.24223-RA, Tfasc_v1.24515-RA, Tfasc_v1.25269-RA, Tfasc_v1.26686-RA, Tfasc_v1.26913-RA, Tfasc_v1.27192-RA, Tfasc_v1.27666-RA, Tfasc_v1.27825-RA, Tfasc_v1.28072-RA, Tfasc_v1.30672-RA	6e-04
BP	GO:0016125	sterol metabolic process	Tfasc_v1.04702-RA, Tfasc_v1.05655-RA, Tfasc_v1.19374-RA, Tfasc_v1.19375-RA, Tfasc_v1.19379-RA, Tfasc_v1.21912-RA, Tfasc_v1.23676-RA, Tfasc_v1.23678-RA, Tfasc_v1.28072-RA	0.00064
BP	GO:0010089	xylem development	Tfasc_v1.03595-RA, Tfasc_v1.13197-RA, Tfasc_v1.21703-RB, Tfasc_v1.22437-RA, Tfasc_v1.29539-RA	0.00097
BP	GO:0042542	response to hydrogen peroxide	Tfasc_v1.00027-RA, Tfasc_v1.04954-RA, Tfasc_v1.14652-RA, Tfasc_v1.16168-RA, Tfasc_v1.17224-RA, Tfasc_v1.30187-RA	0.00173
