Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.05971-RA, Tfasc_v1.08676-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA	3.3e-12
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.00319-RA, Tfasc_v1.00710-RA, Tfasc_v1.01143-RA, Tfasc_v1.01696-RA, Tfasc_v1.01717-RA, Tfasc_v1.02072-RA, Tfasc_v1.02075-RA, Tfasc_v1.02158-RA, Tfasc_v1.02300-RA, Tfasc_v1.02392-RA, Tfasc_v1.02437-RA, Tfasc_v1.02439-RA, Tfasc_v1.02956-RA, Tfasc_v1.03490-RA, Tfasc_v1.03880-RA, Tfasc_v1.04959-RA, Tfasc_v1.05097-RA, Tfasc_v1.05145-RA, Tfasc_v1.05521-RA, Tfasc_v1.05653-RA, Tfasc_v1.05654-RA, Tfasc_v1.05656-RA, Tfasc_v1.06276-RA, Tfasc_v1.06575-RA, Tfasc_v1.06618-RA, Tfasc_v1.06656-RA, Tfasc_v1.06665-RA, Tfasc_v1.06811-RA, Tfasc_v1.07718-RA, Tfasc_v1.07872-RA, Tfasc_v1.08084-RA, Tfasc_v1.08107-RA, Tfasc_v1.08150-RA, Tfasc_v1.08638-RA, Tfasc_v1.08675-RA, Tfasc_v1.08686-RA, Tfasc_v1.08812-RA, Tfasc_v1.09340-RA, Tfasc_v1.09373-RA, Tfasc_v1.09505-RA, Tfasc_v1.09525-RA, Tfasc_v1.09604-RA, Tfasc_v1.09658-RA, Tfasc_v1.09668-RA, Tfasc_v1.10801-RA, Tfasc_v1.10887-RA, Tfasc_v1.10916-RA, Tfasc_v1.11745-RA, Tfasc_v1.12074-RA, Tfasc_v1.12384-RA, Tfasc_v1.12423-RA, Tfasc_v1.12425-RA, Tfasc_v1.13975-RA, Tfasc_v1.14071-RA, Tfasc_v1.14172-RA, Tfasc_v1.14225-RA, Tfasc_v1.14452-RA, Tfasc_v1.14652-RA, Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.16050-RA, Tfasc_v1.16205-RA, Tfasc_v1.16790-RA, Tfasc_v1.17114-RA, Tfasc_v1.17422-RA, Tfasc_v1.17456-RA, Tfasc_v1.17457-RA, Tfasc_v1.17549-RA, Tfasc_v1.18646-RA, Tfasc_v1.19246-RA, Tfasc_v1.19302-RA, Tfasc_v1.19305-RA, Tfasc_v1.19918-RA, Tfasc_v1.19943-RA, Tfasc_v1.20141-RA, Tfasc_v1.20175-RA, Tfasc_v1.20435-RA, Tfasc_v1.20438-RA, Tfasc_v1.20660-RA, Tfasc_v1.21098-RA, Tfasc_v1.21767-RA, Tfasc_v1.22185-RA, Tfasc_v1.22497-RA, Tfasc_v1.22524-RA, Tfasc_v1.22892-RA, Tfasc_v1.23066-RA, Tfasc_v1.23092-RA, Tfasc_v1.24082-RA, Tfasc_v1.24176-RA, Tfasc_v1.24182-RA, Tfasc_v1.24218-RA, Tfasc_v1.24219-RA, Tfasc_v1.24489-RA, Tfasc_v1.25013-RA, Tfasc_v1.25269-RA, Tfasc_v1.25311-RA, Tfasc_v1.26062-RA, Tfasc_v1.26645-RA, Tfasc_v1.26791-RA, Tfasc_v1.26823-RA, Tfasc_v1.27740-RA, Tfasc_v1.27912-RB, Tfasc_v1.28016-RA, Tfasc_v1.28196-RB, Tfasc_v1.28478-RA, Tfasc_v1.28537-RA, Tfasc_v1.28936-RA, Tfasc_v1.28996-RA, Tfasc_v1.29416-RA, Tfasc_v1.29595-RA, Tfasc_v1.30572-RA, Tfasc_v1.32018-RA, Tfasc_v1.32247-RA, Tfasc_v1.33700-RA	4.8e-05
BP	GO:0009451	RNA modification	Tfasc_v1.00114-RA, Tfasc_v1.02958-RA, Tfasc_v1.03103-RA, Tfasc_v1.04243-RA, Tfasc_v1.04501-RA, Tfasc_v1.04578-RA, Tfasc_v1.04761-RA, Tfasc_v1.05941-RA, Tfasc_v1.05982-RA, Tfasc_v1.07559-RA, Tfasc_v1.07563-RA, Tfasc_v1.07975-RA, Tfasc_v1.08861-RA, Tfasc_v1.08900-RA, Tfasc_v1.09666-RA, Tfasc_v1.09758-RA, Tfasc_v1.13019-RA, Tfasc_v1.13020-RA, Tfasc_v1.14097-RA, Tfasc_v1.14467-RA, Tfasc_v1.15136-RA, Tfasc_v1.15227-RA, Tfasc_v1.15744-RA, Tfasc_v1.15745-RA, Tfasc_v1.17537-RA, Tfasc_v1.17540-RA, Tfasc_v1.17540-RB, Tfasc_v1.18820-RA, Tfasc_v1.20509-RA, Tfasc_v1.22526-RA, Tfasc_v1.22568-RA, Tfasc_v1.22583-RA, Tfasc_v1.23221-RA, Tfasc_v1.23265-RA, Tfasc_v1.24036-RA, Tfasc_v1.24221-RA, Tfasc_v1.28782-RA, Tfasc_v1.29310-RA, Tfasc_v1.29612-RA, Tfasc_v1.29771-RA, Tfasc_v1.31821-RA	7.4e-05
BP	GO:1900150	regulation of defense response to fungus	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.22595-RA, Tfasc_v1.26441-RA, Tfasc_v1.27788-RA, Tfasc_v1.30112-RA	8.8e-05
BP	GO:0006468	protein phosphorylation	Tfasc_v1.01829-RA, Tfasc_v1.01865-RA, Tfasc_v1.02098-RA, Tfasc_v1.02265-RA, Tfasc_v1.02266-RA, Tfasc_v1.02716-RA, Tfasc_v1.02717-RA, Tfasc_v1.02938-RA, Tfasc_v1.03128-RA, Tfasc_v1.03687-RA, Tfasc_v1.04341-RA, Tfasc_v1.04427-RA, Tfasc_v1.04613-RA, Tfasc_v1.05091-RA, Tfasc_v1.05473-RA, Tfasc_v1.05634-RA, Tfasc_v1.05896-RA, Tfasc_v1.05996-RA, Tfasc_v1.05998-RA, Tfasc_v1.06058-RA, Tfasc_v1.06087-RA, Tfasc_v1.06186-RA, Tfasc_v1.06834-RA, Tfasc_v1.06897-RA, Tfasc_v1.07973-RA, Tfasc_v1.08361-RA, Tfasc_v1.09405-RA, Tfasc_v1.09432-RA, Tfasc_v1.09639-RA, Tfasc_v1.09673-RA, Tfasc_v1.11882-RA, Tfasc_v1.11979-RA, Tfasc_v1.11980-RA, Tfasc_v1.12218-RA, Tfasc_v1.12302-RA, Tfasc_v1.12426-RA, Tfasc_v1.12888-RA, Tfasc_v1.13141-RA, Tfasc_v1.13185-RA, Tfasc_v1.13190-RA, Tfasc_v1.13404-RA, Tfasc_v1.13405-RA, Tfasc_v1.14404-RB, Tfasc_v1.14859-RA, Tfasc_v1.15523-RA, Tfasc_v1.16058-RA, Tfasc_v1.16172-RA, Tfasc_v1.16304-RA, Tfasc_v1.16454-RA, Tfasc_v1.17142-RA, Tfasc_v1.17151-RA, Tfasc_v1.18221-RA, Tfasc_v1.18627-RA, Tfasc_v1.18786-RA, Tfasc_v1.18855-RA, Tfasc_v1.20223-RA, Tfasc_v1.20275-RA, Tfasc_v1.20515-RA, Tfasc_v1.21571-RA, Tfasc_v1.21585-RA, Tfasc_v1.21613-RA, Tfasc_v1.21696-RA, Tfasc_v1.22524-RA, Tfasc_v1.22595-RA, Tfasc_v1.22860-RA, Tfasc_v1.23030-RA, Tfasc_v1.23046-RA, Tfasc_v1.23089-RA, Tfasc_v1.23419-RA, Tfasc_v1.23546-RA, Tfasc_v1.24130-RA, Tfasc_v1.24196-RA, Tfasc_v1.24205-RA, Tfasc_v1.24209-RA, Tfasc_v1.24407-RA, Tfasc_v1.24491-RA, Tfasc_v1.24956-RA, Tfasc_v1.24958-RA, Tfasc_v1.25137-RA, Tfasc_v1.25627-RA, Tfasc_v1.25628-RA, Tfasc_v1.25810-RA, Tfasc_v1.25852-RA, Tfasc_v1.26976-RA, Tfasc_v1.27618-RA, Tfasc_v1.27619-RA, Tfasc_v1.27708-RA, Tfasc_v1.27784-RA, Tfasc_v1.27815-RA, Tfasc_v1.27816-RA, Tfasc_v1.27857-RA, Tfasc_v1.27881-RA, Tfasc_v1.27958-RB, Tfasc_v1.28605-RA, Tfasc_v1.28608-RA, Tfasc_v1.28729-RA, Tfasc_v1.29743-RA, Tfasc_v1.29930-RA, Tfasc_v1.30039-RA, Tfasc_v1.30096-RA, Tfasc_v1.30112-RA, Tfasc_v1.30670-RA, Tfasc_v1.31220-RA, Tfasc_v1.31228-RA, Tfasc_v1.31230-RA, Tfasc_v1.32728-RA	9.3e-05
BP	GO:0030163	protein catabolic process	Tfasc_v1.02199-RA, Tfasc_v1.03058-RA, Tfasc_v1.04494-RA, Tfasc_v1.04806-RA, Tfasc_v1.04960-RA, Tfasc_v1.07281-RA, Tfasc_v1.07733-RA, Tfasc_v1.08612-RA, Tfasc_v1.08616-RA, Tfasc_v1.08617-RA, Tfasc_v1.08891-RA, Tfasc_v1.09135-RA, Tfasc_v1.12979-RA, Tfasc_v1.16471-RA, Tfasc_v1.16699-RA, Tfasc_v1.17195-RA, Tfasc_v1.17350-RA, Tfasc_v1.21454-RA, Tfasc_v1.22641-RA, Tfasc_v1.28007-RA, Tfasc_v1.28525-RA, Tfasc_v1.29139-RA, Tfasc_v1.29666-RA, Tfasc_v1.29667-RA, Tfasc_v1.29723-RA	0.00012
BP	GO:1901002	positive regulation of response to salt stress	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.19302-RA, Tfasc_v1.19305-RA, Tfasc_v1.24491-RA, Tfasc_v1.27908-RA	0.00013
BP	GO:0030187	melatonin biosynthetic process	Tfasc_v1.26057-RA, Tfasc_v1.26059-RA, Tfasc_v1.28194-RA	0.00016
BP	GO:0031408	oxylipin biosynthetic process	Tfasc_v1.08463-RA, Tfasc_v1.18408-RA, Tfasc_v1.18792-RA, Tfasc_v1.19374-RA, Tfasc_v1.23382-RA	0.00028
BP	GO:0070413	trehalose metabolism in response to stress	Tfasc_v1.02216-RA, Tfasc_v1.05016-RA, Tfasc_v1.09032-RA, Tfasc_v1.09493-RB, Tfasc_v1.19474-RA, Tfasc_v1.24161-RA	0.00039
