Category	ID	Term	Genes	adj_pval
BP	GO:0010089	xylem development	Tfasc_v1.03595-RA, Tfasc_v1.13197-RA, Tfasc_v1.21703-RB, Tfasc_v1.29539-RA	4.3e-05
BP	GO:0006629	lipid metabolic process	Tfasc_v1.01343-RA, Tfasc_v1.01454-RA, Tfasc_v1.02082-RA, Tfasc_v1.05024-RA, Tfasc_v1.06289-RA, Tfasc_v1.07592-RA, Tfasc_v1.08099-RA, Tfasc_v1.09636-RA, Tfasc_v1.09761-RA, Tfasc_v1.11910-RA, Tfasc_v1.13227-RA, Tfasc_v1.14176-RA, Tfasc_v1.18246-RA, Tfasc_v1.18617-RA, Tfasc_v1.22935-RA, Tfasc_v1.23037-RA, Tfasc_v1.23676-RA, Tfasc_v1.23678-RA, Tfasc_v1.24223-RA, Tfasc_v1.24515-RA, Tfasc_v1.26913-RA, Tfasc_v1.27192-RA, Tfasc_v1.27666-RA	5.9e-05
BP	GO:0015708	silicic acid import across plasma membrane	Tfasc_v1.05951-RA, Tfasc_v1.18652-RA	0.00022
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.01363-RA, Tfasc_v1.02053-RA, Tfasc_v1.04718-RA, Tfasc_v1.05143-RA, Tfasc_v1.10757-RA, Tfasc_v1.10868-RA, Tfasc_v1.11005-RA, Tfasc_v1.11835-RA, Tfasc_v1.12110-RA, Tfasc_v1.12111-RA, Tfasc_v1.12310-RA, Tfasc_v1.12494-RA, Tfasc_v1.12495-RA, Tfasc_v1.13645-RA, Tfasc_v1.16160-RA, Tfasc_v1.16266-RA, Tfasc_v1.17224-RA, Tfasc_v1.17934-RA, Tfasc_v1.18392-RA, Tfasc_v1.21103-RA, Tfasc_v1.21186-RA, Tfasc_v1.22107-RA, Tfasc_v1.22392-RA, Tfasc_v1.22605-RA, Tfasc_v1.22656-RA, Tfasc_v1.22842-RA, Tfasc_v1.23001-RA, Tfasc_v1.23015-RA, Tfasc_v1.24013-RA, Tfasc_v1.25158-RA, Tfasc_v1.25425-RA, Tfasc_v1.27753-RA, Tfasc_v1.27793-RA, Tfasc_v1.27800-RA, Tfasc_v1.27879-RA, Tfasc_v1.29539-RA	0.00031
BP	GO:0010236	plastoquinone biosynthetic process	Tfasc_v1.22735-RA, Tfasc_v1.26913-RA	0.00446
BP	GO:0044238	primary metabolic process	Tfasc_v1.00110-RA, Tfasc_v1.01170-RA, Tfasc_v1.01343-RA, Tfasc_v1.01363-RA, Tfasc_v1.01428-RA, Tfasc_v1.01454-RA, Tfasc_v1.01503-RA, Tfasc_v1.01713-RA, Tfasc_v1.02053-RA, Tfasc_v1.02082-RA, Tfasc_v1.03236-RA, Tfasc_v1.03342-RA, Tfasc_v1.03501-RA, Tfasc_v1.03663-RA, Tfasc_v1.04718-RA, Tfasc_v1.04740-RA, Tfasc_v1.05019-RA, Tfasc_v1.05024-RA, Tfasc_v1.05143-RA, Tfasc_v1.05486-RA, Tfasc_v1.06176-RA, Tfasc_v1.06289-RA, Tfasc_v1.06546-RA, Tfasc_v1.06916-RA, Tfasc_v1.07214-RA, Tfasc_v1.07592-RA, Tfasc_v1.07619-RA, Tfasc_v1.07891-RA, Tfasc_v1.08099-RA, Tfasc_v1.08826-RA, Tfasc_v1.08858-RA, Tfasc_v1.09441-RA, Tfasc_v1.09614-RA, Tfasc_v1.09636-RA, Tfasc_v1.09761-RA, Tfasc_v1.09794-RA, Tfasc_v1.10237-RA, Tfasc_v1.10757-RA, Tfasc_v1.10785-RA, Tfasc_v1.10817-RA, Tfasc_v1.10824-RA, Tfasc_v1.10868-RA, Tfasc_v1.11005-RA, Tfasc_v1.11835-RA, Tfasc_v1.11910-RA, Tfasc_v1.12110-RA, Tfasc_v1.12111-RA, Tfasc_v1.12143-RA, Tfasc_v1.12201-RA, Tfasc_v1.12310-RA, Tfasc_v1.12494-RA, Tfasc_v1.12495-RA, Tfasc_v1.12602-RA, Tfasc_v1.13110-RA, Tfasc_v1.13183-RA, Tfasc_v1.13227-RA, Tfasc_v1.13645-RA, Tfasc_v1.14072-RA, Tfasc_v1.14176-RA, Tfasc_v1.14339-RA, Tfasc_v1.14520-RA, Tfasc_v1.14752-RA, Tfasc_v1.14907-RA, Tfasc_v1.15547-RA, Tfasc_v1.16136-RA, Tfasc_v1.16160-RA, Tfasc_v1.16170-RA, Tfasc_v1.16266-RA, Tfasc_v1.16491-RA, Tfasc_v1.17224-RA, Tfasc_v1.17458-RA, Tfasc_v1.17934-RA, Tfasc_v1.18246-RA, Tfasc_v1.18392-RA, Tfasc_v1.18434-RA, Tfasc_v1.18617-RA, Tfasc_v1.18671-RA, Tfasc_v1.18750-RA, Tfasc_v1.19728-RA, Tfasc_v1.20151-RA, Tfasc_v1.20184-RA, Tfasc_v1.20329-RA, Tfasc_v1.20493-RA, Tfasc_v1.21103-RA, Tfasc_v1.21186-RA, Tfasc_v1.21508-RA, Tfasc_v1.21703-RB, Tfasc_v1.21873-RA, Tfasc_v1.21947-RA, Tfasc_v1.22107-RA, Tfasc_v1.22118-RA, Tfasc_v1.22315-RA, Tfasc_v1.22316-RA, Tfasc_v1.22392-RA, Tfasc_v1.22455-RA, Tfasc_v1.22605-RA, Tfasc_v1.22621-RA, Tfasc_v1.22656-RA, Tfasc_v1.22842-RA, Tfasc_v1.22935-RA, Tfasc_v1.23001-RA, Tfasc_v1.23015-RA, Tfasc_v1.23037-RA, Tfasc_v1.23123-RA, Tfasc_v1.23462-RA, Tfasc_v1.23676-RA, Tfasc_v1.23678-RA, Tfasc_v1.24013-RA, Tfasc_v1.24223-RA, Tfasc_v1.24515-RA, Tfasc_v1.24687-RA, Tfasc_v1.25158-RA, Tfasc_v1.25425-RA, Tfasc_v1.25969-RA, Tfasc_v1.26269-RA, Tfasc_v1.26452-RA, Tfasc_v1.26593-RA, Tfasc_v1.26623-RA, Tfasc_v1.26803-RA, Tfasc_v1.26900-RA, Tfasc_v1.26913-RA, Tfasc_v1.27157-RA, Tfasc_v1.27192-RA, Tfasc_v1.27544-RA, Tfasc_v1.27666-RA, Tfasc_v1.27753-RA, Tfasc_v1.27765-RA, Tfasc_v1.27793-RA, Tfasc_v1.27794-RA, Tfasc_v1.27800-RA, Tfasc_v1.27879-RA, Tfasc_v1.28009-RA, Tfasc_v1.29132-RA, Tfasc_v1.29539-RA, Tfasc_v1.29883-RA, Tfasc_v1.30010-RB	0.00793
BP	GO:0006880	intracellular sequestering of iron ion	Tfasc_v1.12365-RA, Tfasc_v1.22738-RA	0.00927
BP	GO:0034641	cellular nitrogen compound metabolic process	Tfasc_v1.01170-RA, Tfasc_v1.01363-RA, Tfasc_v1.02053-RA, Tfasc_v1.04718-RA, Tfasc_v1.05143-RA, Tfasc_v1.06546-RA, Tfasc_v1.07214-RA, Tfasc_v1.07891-RA, Tfasc_v1.08826-RA, Tfasc_v1.09794-RA, Tfasc_v1.10237-RA, Tfasc_v1.10757-RA, Tfasc_v1.10868-RA, Tfasc_v1.11005-RA, Tfasc_v1.11835-RA, Tfasc_v1.12110-RA, Tfasc_v1.12111-RA, Tfasc_v1.12143-RA, Tfasc_v1.12310-RA, Tfasc_v1.12494-RA, Tfasc_v1.12495-RA, Tfasc_v1.13645-RA, Tfasc_v1.14339-RA, Tfasc_v1.14907-RA, Tfasc_v1.15547-RA, Tfasc_v1.16136-RA, Tfasc_v1.16160-RA, Tfasc_v1.16266-RA, Tfasc_v1.16491-RA, Tfasc_v1.17224-RA, Tfasc_v1.17934-RA, Tfasc_v1.18392-RA, Tfasc_v1.18671-RA, Tfasc_v1.19728-RA, Tfasc_v1.20151-RA, Tfasc_v1.20329-RA, Tfasc_v1.21103-RA, Tfasc_v1.21186-RA, Tfasc_v1.21508-RA, Tfasc_v1.21947-RA, Tfasc_v1.22107-RA, Tfasc_v1.22392-RA, Tfasc_v1.22605-RA, Tfasc_v1.22656-RA, Tfasc_v1.22842-RA, Tfasc_v1.23001-RA, Tfasc_v1.23015-RA, Tfasc_v1.23462-RA, Tfasc_v1.24013-RA, Tfasc_v1.25158-RA, Tfasc_v1.25425-RA, Tfasc_v1.26269-RA, Tfasc_v1.26452-RA, Tfasc_v1.27544-RA, Tfasc_v1.27753-RA, Tfasc_v1.27793-RA, Tfasc_v1.27800-RA, Tfasc_v1.27879-RA, Tfasc_v1.28009-RA, Tfasc_v1.29429-RB, Tfasc_v1.29539-RA, Tfasc_v1.29883-RA, Tfasc_v1.30010-RB	0.0109
BP	GO:0010466	negative regulation of peptidase activity	Tfasc_v1.03236-RA, Tfasc_v1.12201-RA, Tfasc_v1.21873-RA	0.01486
BP	GO:0010076	maintenance of floral meristem identity	Tfasc_v1.29539-RA	0.01496
