Category	ID	Term	Genes	adj_pval
BP	GO:1901002	positive regulation of response to salt stress	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.19302-RA, Tfasc_v1.19305-RA, Tfasc_v1.24491-RA, Tfasc_v1.27908-RA	3.9e-07
BP	GO:1900150	regulation of defense response to fungus	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.22595-RA, Tfasc_v1.30112-RA	0.00017
BP	GO:0062055	photosynthetic state transition	Tfasc_v1.26057-RA, Tfasc_v1.26059-RA	0.00039
BP	GO:0070413	trehalose metabolism in response to stress	Tfasc_v1.02216-RA, Tfasc_v1.05016-RA, Tfasc_v1.09493-RB, Tfasc_v1.19474-RA	0.00046
BP	GO:0031952	regulation of protein autophosphorylation	Tfasc_v1.13404-RA, Tfasc_v1.13405-RA, Tfasc_v1.24491-RA	0.00083
BP	GO:0071492	cellular response to UV-A	Tfasc_v1.05902-RA, Tfasc_v1.05905-RA	0.00116
BP	GO:0071486	cellular response to high light intensity	Tfasc_v1.05902-RA, Tfasc_v1.05905-RA	0.00116
BP	GO:0030187	melatonin biosynthetic process	Tfasc_v1.26057-RA, Tfasc_v1.26059-RA	0.00116
BP	GO:0009231	riboflavin biosynthetic process	Tfasc_v1.09863-RA, Tfasc_v1.18705-RA, Tfasc_v1.18707-RA	0.00238
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	Tfasc_v1.12888-RA, Tfasc_v1.18221-RA, Tfasc_v1.18786-RA, Tfasc_v1.25627-RA, Tfasc_v1.25628-RA, Tfasc_v1.27618-RA, Tfasc_v1.30670-RA	0.00486
BP	GO:0002221	pattern recognition receptor signaling pathway	Tfasc_v1.22595-RA, Tfasc_v1.30112-RA	0.00556
BP	GO:0035672	oligopeptide transmembrane transport	Tfasc_v1.00748-RA, Tfasc_v1.02223-RA, Tfasc_v1.18508-RA, Tfasc_v1.24158-RA	0.00595
BP	GO:0009611	response to wounding	Tfasc_v1.05902-RA, Tfasc_v1.05905-RA, Tfasc_v1.16205-RA, Tfasc_v1.27908-RA	0.00595
BP	GO:1900424	regulation of defense response to bacterium	Tfasc_v1.22595-RA, Tfasc_v1.30112-RA	0.00768
BP	GO:0045893	positive regulation of DNA-templated transcription	Tfasc_v1.14071-RA, Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.16205-RA, Tfasc_v1.19302-RA, Tfasc_v1.19305-RA, Tfasc_v1.28196-RB, Tfasc_v1.28537-RA	0.00777
BP	GO:1902584	positive regulation of response to water deprivation	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA	0.01011
BP	GO:0005992	trehalose biosynthetic process	Tfasc_v1.02216-RA, Tfasc_v1.05016-RA, Tfasc_v1.09493-RB, Tfasc_v1.19474-RA	0.01098
BP	GO:0030163	protein catabolic process	Tfasc_v1.04960-RA, Tfasc_v1.09135-RA, Tfasc_v1.16471-RA, Tfasc_v1.17195-RA, Tfasc_v1.22641-RA, Tfasc_v1.28525-RA, Tfasc_v1.29666-RA	0.01823
BP	GO:0009094	L-phenylalanine biosynthetic process	Tfasc_v1.07026-RA, Tfasc_v1.13163-RA	0.0191
BP	GO:0032875	regulation of DNA endoreduplication	Tfasc_v1.14327-RA, Tfasc_v1.29309-RA	0.0191
BP	GO:0060860	regulation of floral organ abscission	Tfasc_v1.08084-RA	0.0198
BP	GO:0010960	magnesium ion homeostasis	Tfasc_v1.11639-RA	0.0198
BP	GO:0009413	response to flooding	Tfasc_v1.04427-RA	0.0198
BP	GO:0010121	arginine catabolic process to proline via ornithine	Tfasc_v1.04427-RA	0.0198
BP	GO:0001714	endodermal cell fate specification	Tfasc_v1.01143-RA	0.0198
BP	GO:0030418	nicotianamine biosynthetic process	Tfasc_v1.01581-RA	0.0198
BP	GO:0080027	response to herbivore	Tfasc_v1.16205-RA	0.0198
BP	GO:0097548	seed abscission	Tfasc_v1.08084-RA	0.0198
BP	GO:1902065	response to L-glutamate	Tfasc_v1.27908-RA	0.0198
BP	GO:0006593	ornithine catabolic process	Tfasc_v1.04427-RA	0.0198
BP	GO:0019544	arginine catabolic process to glutamate	Tfasc_v1.04427-RA	0.0198
BP	GO:0080148	negative regulation of response to water deprivation	Tfasc_v1.25807-RA	0.0198
BP	GO:0080136	priming of cellular response to stress	Tfasc_v1.27908-RA	0.0198
BP	GO:0010325	raffinose family oligosaccharide biosynthetic process	Tfasc_v1.00808-RA	0.0198
BP	GO:0006535	cysteine biosynthetic process from serine	Tfasc_v1.19945-RA, Tfasc_v1.22892-RA	0.02262
BP	GO:0042372	phylloquinone biosynthetic process	Tfasc_v1.01665-RA, Tfasc_v1.20276-RA	0.02639
BP	GO:0009056	catabolic process	Tfasc_v1.00808-RA, Tfasc_v1.03610-RA, Tfasc_v1.04356-RA, Tfasc_v1.04427-RA, Tfasc_v1.04960-RA, Tfasc_v1.06031-RA, Tfasc_v1.07996-RA, Tfasc_v1.08873-RA, Tfasc_v1.09135-RA, Tfasc_v1.09258-RA, Tfasc_v1.09332-RA, Tfasc_v1.11851-RA, Tfasc_v1.14483-RA, Tfasc_v1.14914-RA, Tfasc_v1.15054-RA, Tfasc_v1.16471-RA, Tfasc_v1.17195-RA, Tfasc_v1.18400-RA, Tfasc_v1.19496-RA, Tfasc_v1.20239-RA, Tfasc_v1.20954-RA, Tfasc_v1.22585-RA, Tfasc_v1.22641-RA, Tfasc_v1.26547-RA, Tfasc_v1.27353-RA, Tfasc_v1.28525-RA, Tfasc_v1.29666-RA	0.02641
