Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05971-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA	5.4e-17
BP	GO:0009416	response to light stimulus	Tfasc_v1.04301-RA, Tfasc_v1.04702-RA, Tfasc_v1.05971-RA, Tfasc_v1.08891-RA, Tfasc_v1.09764-RA, Tfasc_v1.10775-RA, Tfasc_v1.10778-RA, Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.15053-RA, Tfasc_v1.21651-RA, Tfasc_v1.22502-RA, Tfasc_v1.22809-RA, Tfasc_v1.24065-RA, Tfasc_v1.25753-RA	1.4e-07
BP	GO:0007623	circadian rhythm	Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.23066-RA, Tfasc_v1.29416-RA	0.00076
BP	GO:0009773	photosynthetic electron transport in photosystem I	Tfasc_v1.20522-RA, Tfasc_v1.21651-RA	0.00213
BP	GO:0000160	phosphorelay signal transduction system	Tfasc_v1.00174-RA, Tfasc_v1.03490-RA, Tfasc_v1.21208-RA, Tfasc_v1.22759-RA, Tfasc_v1.26823-RA	0.0033
BP	GO:0009644	response to high light intensity	Tfasc_v1.08891-RA, Tfasc_v1.10775-RA, Tfasc_v1.21651-RA	0.00446
BP	GO:0009769	photosynthesis, light harvesting in photosystem II	Tfasc_v1.10775-RA	0.00535
BP	GO:0010378	temperature compensation of the circadian clock	Tfasc_v1.14652-RA	0.00535
BP	GO:2001007	negative regulation of cellulose biosynthetic process	Tfasc_v1.13975-RA	0.00535
BP	GO:0010583	response to cyclopentenone	Tfasc_v1.27591-RA	0.00535
BP	GO:0009738	abscisic acid-activated signaling pathway	Tfasc_v1.04613-RA, Tfasc_v1.20275-RA, Tfasc_v1.30039-RA	0.0073
BP	GO:0009873	ethylene-activated signaling pathway	Tfasc_v1.03490-RA, Tfasc_v1.26823-RA	0.00784
BP	GO:0042542	response to hydrogen peroxide	Tfasc_v1.04954-RA, Tfasc_v1.14652-RA	0.00911
BP	GO:0009637	response to blue light	Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.22809-RA	0.00957
