Category	ID	Term	Genes	adj_pval
BP	GO:0019464	glycine decarboxylation via glycine cleavage system	Tfasc_v1.13257-RA, Tfasc_v1.26919-RA, Tfasc_v1.28181-RA	7.3e-05
BP	GO:0046512	sphingosine biosynthetic process	Tfasc_v1.06909-RA, Tfasc_v1.07881-RA, Tfasc_v1.10773-RA	0.00058
BP	GO:0009451	RNA modification	Tfasc_v1.00114-RA, Tfasc_v1.02958-RA, Tfasc_v1.04243-RA, Tfasc_v1.07563-RA, Tfasc_v1.09666-RA, Tfasc_v1.09758-RA, Tfasc_v1.13019-RA, Tfasc_v1.13020-RA, Tfasc_v1.14467-RA, Tfasc_v1.15227-RA, Tfasc_v1.15745-RA, Tfasc_v1.22526-RA, Tfasc_v1.22568-RA, Tfasc_v1.22583-RA, Tfasc_v1.23221-RA, Tfasc_v1.23265-RA, Tfasc_v1.24221-RA, Tfasc_v1.29612-RA, Tfasc_v1.29771-RA	0.00069
BP	GO:0031408	oxylipin biosynthetic process	Tfasc_v1.18408-RA, Tfasc_v1.18792-RA, Tfasc_v1.23382-RA	0.00145
BP	GO:0003333	amino acid transmembrane transport	Tfasc_v1.01899-RA, Tfasc_v1.04535-RA, Tfasc_v1.09420-RA, Tfasc_v1.12137-RA, Tfasc_v1.12497-RA, Tfasc_v1.13314-RA, Tfasc_v1.18515-RA, Tfasc_v1.25629-RA	0.00227
BP	GO:0045489	pectin biosynthetic process	Tfasc_v1.05937-RA, Tfasc_v1.06823-RA, Tfasc_v1.09488-RA, Tfasc_v1.27774-RA	0.00342
BP	GO:0080143	regulation of amino acid export	Tfasc_v1.13314-RA, Tfasc_v1.25629-RA	0.00549
BP	GO:0006004	fucose metabolic process	Tfasc_v1.21120-RA, Tfasc_v1.26086-RA, Tfasc_v1.27088-RA, Tfasc_v1.29602-RA	0.01449
BP	GO:0015706	nitrate transmembrane transport	Tfasc_v1.18609-RA, Tfasc_v1.22304-RA	0.01564
BP	GO:0061817	endoplasmic reticulum-plasma membrane tethering	Tfasc_v1.01458-RA, Tfasc_v1.08494-RA	0.01564
BP	GO:0006857	oligopeptide transport	Tfasc_v1.04825-RA, Tfasc_v1.18254-RA, Tfasc_v1.18256-RA	0.01883
BP	GO:0009423	chorismate biosynthetic process	Tfasc_v1.20278-RA, Tfasc_v1.23078-RA	0.01887
