Category	ID	Term	Genes	adj_pval
BP	GO:0006809	nitric oxide biosynthetic process	Tfasc_v1.08593-RA, Tfasc_v1.08595-RA, Tfasc_v1.08596-RA	9.3e-06
BP	GO:0042128	nitrate assimilation	Tfasc_v1.08593-RA, Tfasc_v1.08595-RA, Tfasc_v1.08596-RA	4.6e-05
BP	GO:0042542	response to hydrogen peroxide	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.24191-RA, Tfasc_v1.28042-RA	0.00043
BP	GO:0009414	response to water deprivation	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.07962-RA, Tfasc_v1.09214-RA, Tfasc_v1.19709-RA, Tfasc_v1.25175-RA, Tfasc_v1.28586-RA	0.00046
BP	GO:0007094	mitotic spindle assembly checkpoint signaling	Tfasc_v1.19856-RA, Tfasc_v1.19861-RA, Tfasc_v1.29690-RA	0.00047
BP	GO:0009298	GDP-mannose biosynthetic process	Tfasc_v1.21501-RA, Tfasc_v1.21509-RA	0.00053
BP	GO:0006223	uracil salvage	Tfasc_v1.29555-RA, Tfasc_v1.29567-RA	0.00105
BP	GO:0006013	mannose metabolic process	Tfasc_v1.21501-RA, Tfasc_v1.21509-RA	0.00173
BP	GO:0019853	L-ascorbic acid biosynthetic process	Tfasc_v1.21501-RA, Tfasc_v1.21509-RA	0.00356
BP	GO:0007076	mitotic chromosome condensation	Tfasc_v1.05158-RA, Tfasc_v1.13006-RA	0.01072
BP	GO:0043100	pyrimidine nucleobase salvage	Tfasc_v1.01954-RA, Tfasc_v1.29555-RA, Tfasc_v1.29567-RA	0.01322
BP	GO:0016119	carotene metabolic process	Tfasc_v1.04408-RA, Tfasc_v1.04498-RA, Tfasc_v1.06921-RA	0.01323
BP	GO:0006203	dGTP catabolic process	Tfasc_v1.15930-RA	0.01335
BP	GO:0006636	unsaturated fatty acid biosynthetic process	Tfasc_v1.24191-RA	0.01335
BP	GO:0071629	cytoplasm protein quality control by the ubiquitin-proteasome system	Tfasc_v1.23009-RA	0.01335
BP	GO:0010483	pollen tube reception	Tfasc_v1.26432-RA	0.01335
BP	GO:0062034	L-pipecolic acid biosynthetic process	Tfasc_v1.06923-RA	0.01335
BP	GO:0098755	maintenance of seed dormancy by absisic acid	Tfasc_v1.22253-RA	0.01335
BP	GO:1900186	negative regulation of clathrin-dependent endocytosis	Tfasc_v1.29211-RA	0.01335
BP	GO:0033274	response to vitamin B2	Tfasc_v1.24191-RA	0.01335
BP	GO:0009617	response to bacterium	Tfasc_v1.01880-RA, Tfasc_v1.03385-RA, Tfasc_v1.24191-RA	0.01461
BP	GO:0009409	response to cold	Tfasc_v1.07962-RA, Tfasc_v1.08045-RA, Tfasc_v1.09214-RA, Tfasc_v1.25175-RA, Tfasc_v1.28586-RA	0.01488
