Category	ID	Term	Genes	adj_pval
BP	GO:0006355	regulation of DNA-templated transcription	Tfasc_v1.00133-RA, Tfasc_v1.00179-RA, Tfasc_v1.00253-RA, Tfasc_v1.00371-RA, Tfasc_v1.00408-RA, Tfasc_v1.00411-RA, Tfasc_v1.00549-RA, Tfasc_v1.00931-RA, Tfasc_v1.01409-RA, Tfasc_v1.01579-RA, Tfasc_v1.01582-RA, Tfasc_v1.01605-RA, Tfasc_v1.01777-RA, Tfasc_v1.02162-RA, Tfasc_v1.03113-RA, Tfasc_v1.03490-RA, Tfasc_v1.04467-RA, Tfasc_v1.04959-RA, Tfasc_v1.05651-RA, Tfasc_v1.06351-RA, Tfasc_v1.06889-RA, Tfasc_v1.07084-RA, Tfasc_v1.08059-RA, Tfasc_v1.08084-RA, Tfasc_v1.08675-RA, Tfasc_v1.08686-RA, Tfasc_v1.08870-RA, Tfasc_v1.09375-RA, Tfasc_v1.09498-RA, Tfasc_v1.09505-RA, Tfasc_v1.09512-RA, Tfasc_v1.09604-RA, Tfasc_v1.09612-RA, Tfasc_v1.09781-RA, Tfasc_v1.10757-RA, Tfasc_v1.11944-RA, Tfasc_v1.12495-RA, Tfasc_v1.14225-RA, Tfasc_v1.14807-RA, Tfasc_v1.14819-RA, Tfasc_v1.14943-RA, Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.15636-RA, Tfasc_v1.16251-RA, Tfasc_v1.16431-RA, Tfasc_v1.17468-RA, Tfasc_v1.19672-RA, Tfasc_v1.20141-RA, Tfasc_v1.21098-RA, Tfasc_v1.21103-RA, Tfasc_v1.21158-RA, Tfasc_v1.21163-RA, Tfasc_v1.21467-RA, Tfasc_v1.22717-RA, Tfasc_v1.22790-RA, Tfasc_v1.23156-RA, Tfasc_v1.23181-RA, Tfasc_v1.23198-RA, Tfasc_v1.24114-RA, Tfasc_v1.24162-RA, Tfasc_v1.24218-RA, Tfasc_v1.24353-RA, Tfasc_v1.25177-RA, Tfasc_v1.27673-RA, Tfasc_v1.27841-RA, Tfasc_v1.27841-RB, Tfasc_v1.27879-RA, Tfasc_v1.28405-RA, Tfasc_v1.28996-RA, Tfasc_v1.30044-RA, Tfasc_v1.30266-RA, Tfasc_v1.30267-RA, Tfasc_v1.30705-RA, Tfasc_v1.32247-RA	6.7e-07
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.05971-RA, Tfasc_v1.09192-RA, Tfasc_v1.09764-RA, Tfasc_v1.10778-RA, Tfasc_v1.15053-RA, Tfasc_v1.25753-RA	6e-06
BP	GO:0015979	photosynthesis	Tfasc_v1.02358-RA, Tfasc_v1.05971-RA, Tfasc_v1.09192-RA, Tfasc_v1.09267-RA, Tfasc_v1.09764-RA, Tfasc_v1.10778-RA, Tfasc_v1.10808-RA, Tfasc_v1.11940-RA, Tfasc_v1.15013-RA, Tfasc_v1.15015-RA, Tfasc_v1.15053-RA, Tfasc_v1.15064-RA, Tfasc_v1.24218-RA, Tfasc_v1.25753-RA, Tfasc_v1.26620-RA, Tfasc_v1.27705-RA, Tfasc_v1.30578-RA, Tfasc_v1.31345-RA, Tfasc_v1.32700-RA, Tfasc_v1.32707-RA, Tfasc_v1.32709-RA, Tfasc_v1.32711-RA, Tfasc_v1.32723-RA, Tfasc_v1.32725-RA	4.5e-05
BP	GO:1902584	positive regulation of response to water deprivation	Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.28328-RA	0.0013
BP	GO:0009414	response to water deprivation	Tfasc_v1.01960-RA, Tfasc_v1.09214-RA, Tfasc_v1.09359-RA, Tfasc_v1.14945-RA, Tfasc_v1.15453-RA, Tfasc_v1.15454-RA, Tfasc_v1.17135-RA, Tfasc_v1.18618-RA, Tfasc_v1.19709-RA, Tfasc_v1.24184-RA, Tfasc_v1.25175-RA, Tfasc_v1.27689-RA, Tfasc_v1.28328-RA	0.0027
BP	GO:0009094	L-phenylalanine biosynthetic process	Tfasc_v1.07026-RA, Tfasc_v1.07027-RA, Tfasc_v1.22821-RA	0.0035
BP	GO:0016132	brassinosteroid biosynthetic process	Tfasc_v1.16184-RA, Tfasc_v1.23675-RA, Tfasc_v1.23678-RA, Tfasc_v1.28182-RA	0.0036
BP	GO:0009738	abscisic acid-activated signaling pathway	Tfasc_v1.09359-RA, Tfasc_v1.09614-RA, Tfasc_v1.14761-RA, Tfasc_v1.20275-RA, Tfasc_v1.22664-RA, Tfasc_v1.25374-RA, Tfasc_v1.27451-RA, Tfasc_v1.27589-RA	0.0043
BP	GO:0010268	brassinosteroid homeostasis	Tfasc_v1.16184-RA, Tfasc_v1.23675-RA, Tfasc_v1.23678-RA, Tfasc_v1.28182-RA	0.005
BP	GO:0022900	electron transport chain	Tfasc_v1.02358-RA, Tfasc_v1.08862-RA, Tfasc_v1.08863-RA, Tfasc_v1.09487-RA, Tfasc_v1.10808-RA, Tfasc_v1.11287-RA, Tfasc_v1.12967-RA, Tfasc_v1.15013-RA, Tfasc_v1.15015-RA, Tfasc_v1.22802-RA, Tfasc_v1.24264-RA, Tfasc_v1.24370-RA, Tfasc_v1.32709-RA, Tfasc_v1.32711-RA, Tfasc_v1.32712-RA, Tfasc_v1.32723-RA	0.0053
