Category	ID	Term	Genes	adj_pval
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.10775-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA	5.6e-07
BP	GO:0055085	transmembrane transport	Tfasc_v1.00332-RA, Tfasc_v1.00336-RA, Tfasc_v1.00554-RA, Tfasc_v1.00773-RA, Tfasc_v1.01365-RA, Tfasc_v1.01957-RA, Tfasc_v1.07651-RA, Tfasc_v1.08116-RA, Tfasc_v1.12527-RA, Tfasc_v1.12528-RA, Tfasc_v1.13683-RA, Tfasc_v1.14256-RA, Tfasc_v1.14790-RA, Tfasc_v1.16316-RA, Tfasc_v1.17674-RA, Tfasc_v1.19392-RA, Tfasc_v1.20119-RA, Tfasc_v1.21432-RA, Tfasc_v1.22405-RA, Tfasc_v1.23297-RB, Tfasc_v1.23735-RA, Tfasc_v1.28079-RA	7.3e-05
BP	GO:0015979	photosynthesis	Tfasc_v1.01263-RA, Tfasc_v1.04301-RA, Tfasc_v1.05868-RA, Tfasc_v1.07719-RA, Tfasc_v1.10775-RA, Tfasc_v1.11896-RA, Tfasc_v1.11918-RA, Tfasc_v1.13901-RA, Tfasc_v1.17563-RA, Tfasc_v1.22502-RA, Tfasc_v1.24065-RA, Tfasc_v1.25642-RA, Tfasc_v1.25644-RA, Tfasc_v1.26194-RA	0.00012
BP	GO:0042908	xenobiotic transport	Tfasc_v1.00554-RA, Tfasc_v1.12527-RA, Tfasc_v1.12528-RA, Tfasc_v1.23735-RA	0.00318
BP	GO:0006541	glutamine metabolic process	Tfasc_v1.18839-RA, Tfasc_v1.18842-RA, Tfasc_v1.19507-RA, Tfasc_v1.25239-RA	0.0098
BP	GO:0010143	cutin biosynthetic process	Tfasc_v1.29585-RA, Tfasc_v1.29586-RA	0.00981
BP	GO:0009769	photosynthesis, light harvesting in photosystem II	Tfasc_v1.10775-RA	0.01013
BP	GO:0046949	fatty-acyl-CoA biosynthetic process	Tfasc_v1.07919-RA	0.01013
BP	GO:0009970	cellular response to sulfate starvation	Tfasc_v1.03296-RA	0.01013
BP	GO:0001578	microtubule bundle formation	Tfasc_v1.09404-RA	0.02015
BP	GO:0048657	anther wall tapetum cell differentiation	Tfasc_v1.09404-RA	0.02015
BP	GO:0001676	long-chain fatty acid metabolic process	Tfasc_v1.07919-RA, Tfasc_v1.14176-RA, Tfasc_v1.20070-RA	0.0204
BP	GO:0009755	hormone-mediated signaling pathway	Tfasc_v1.04767-RA, Tfasc_v1.05511-RA, Tfasc_v1.09404-RA, Tfasc_v1.09405-RA, Tfasc_v1.11969-RA, Tfasc_v1.16254-RA, Tfasc_v1.20122-RA, Tfasc_v1.27843-RA, Tfasc_v1.29767-RA	0.02147
BP	GO:0010268	brassinosteroid homeostasis	Tfasc_v1.09404-RA, Tfasc_v1.16061-RA	0.0243
BP	GO:0009737	response to abscisic acid	Tfasc_v1.10775-RA, Tfasc_v1.17137-RA, Tfasc_v1.20067-RA, Tfasc_v1.24176-RA, Tfasc_v1.27843-RA	0.0262
BP	GO:0006869	lipid transport	Tfasc_v1.01876-RA, Tfasc_v1.11764-RA, Tfasc_v1.11765-RA, Tfasc_v1.22908-RA	0.02707
