0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Tfasc_v1.00001-RA	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfasc_v1.00002-RA	114	87	117	18	14	13	13	10	8	37	115	25	4	18	27	14	71	53	56	66	94	95	136	120
Tfasc_v1.00003-RA	61	103	73	1936	1835	1909	1502	1686	1903	2333	111	1754	1631	2112	1754	1484	110	110	94	69	112	117	118	82
Tfasc_v1.00003-RB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfasc_v1.00004-RA	4	1	4	3	2	1	2	6	7	5	1	5	12	1	3	0	2	6	0	1	4	0	2	0
Tfasc_v1.00005-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Tfasc_v1.00006-RA	11416	8452	9001	1484	1325	1358	1763	1795	2076	1725	5323	1565	1352	2582	2294	1878	5150	4859	6189	5482	8210	6171	6425	7046
Tfasc_v1.00007-RA	0	1	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	10	0	0	2	3	1	0
Tfasc_v1.00008-RA	1	1	3	1	2	3	1	5	0	2	2	5	1	5	2	2	0	15	1	0	2	0	5	2
Tfasc_v1.00009-RA	0	0	0	6	0	0	0	1	1	3	0	2	1	3	0	6	0	0	0	1	0	0	3	0
Tfasc_v1.00010-RA	3635	5027	4219	3621	2583	3430	5342	5627	5870	2207	2589	2733	2554	4353	5019	3492	2299	2515	4509	3869	4310	1331	2565	2307
Tfasc_v1.00011-RA	506	317	472	179	129	77	145	120	163	2066	327	302	328	1076	268	415	252	207	188	315	193	333	453	340
Tfasc_v1.00012-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfasc_v1.00012-RB	332	358	368	436	398	427	467	465	461	575	287	452	446	638	644	532	346	362	264	302	320	440	497	452
Tfasc_v1.00013-RA	84	26	38	134	92	107	119	115	162	154	7	170	152	188	278	171	15	23	27	31	9	39	105	38
Tfasc_v1.00014-RA	794	659	881	417	312	333	257	237	272	522	669	410	451	432	457	285	658	507	474	473	660	848	794	813
Tfasc_v1.00015-RA	86	47	85	88	61	110	109	95	152	43	36	18	16	64	43	33	37	27	49	39	54	33	51	29
Tfasc_v1.00016-RA	887	419	750	452	346	342	472	289	463	1120	574	627	543	929	633	609	693	670	305	471	386	931	885	734
Tfasc_v1.00017-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfasc_v1.00017-RB	9	5	16	9	8	5	10	15	19	11	2	9	8	10	22	16	6	13	4	4	6	18	9	17
Tfasc_v1.00017-RC	635	302	540	386	337	290	326	216	436	884	368	444	497	847	450	489	389	468	219	297	280	625	602	489
Tfasc_v1.00018-RA	619	929	951	927	588	939	1243	935	1217	747	748	582	554	1308	1319	1092	686	683	1071	1043	909	501	629	549
Tfasc_v1.00019-RA	89	118	154	34	34	54	24	46	28	55	106	36	25	70	37	55	74	84	107	85	98	105	59	102
Tfasc_v1.00020-RA	3799	4233	3965	2939	2582	2798	4198	4056	5205	2859	2861	3005	2637	4889	4038	3861	2692	2713	3129	2796	3624	2648	3137	2954
Tfasc_v1.00021-RA	1042	820	1141	1269	931	1127	1405	1221	1278	1122	1058	1097	1006	1333	1190	1442	973	1033	860	1015	994	1156	1549	1207
Tfasc_v1.00022-RA	3905	3216	3967	1372	1179	1251	2218	2052	2306	1747	1693	1272	1323	3311	2915	1982	1742	1895	3113	2173	3188	1793	2048	2040
Tfasc_v1.00023-RA	185	249	153	160	166	149	118	99	116	251	260	170	161	221	166	136	225	194	122	131	127	250	345	249
Tfasc_v1.00024-RA	32	21	34	74	143	75	102	91	74	75	20	102	77	141	128	124	24	45	29	15	13	56	77	36
Tfasc_v1.00025-RA	331	810	360	8	7	13	12	13	11	8	571	8	5	9	9	7	536	619	523	525	565	336	924	406
Tfasc_v1.00026-RA	2080	3276	2269	2352	2702	2086	3731	3314	3447	3484	2573	2245	2197	5225	4126	3443	2510	2449	3098	2852	3072	2289	3982	2426
Tfasc_v1.00027-RA	502	640	556	5215	3081	2356	2048	1854	2576	1844	2241	2822	2816	891	1006	784	3327	2738	619	989	917	2725	3372	1674
Tfasc_v1.00028-RA	25304	21732	26118	20861	11019	17161	20810	17282	19966	8203	15270	12343	10229	10917	17412	9434	15167	10879	21741	20893	21128	8846	17608	17281
Tfasc_v1.00029-RA	328	236	233	54	133	80	42	43	255	259	53	18	57	612	105	46	63	90	268	46	600	417	152	71
Tfasc_v1.00030-RA	8745	1872	4669	223	210	121	468	161	275	295	342	273	233	1621	832	603	309	271	1241	85	5063	812	763	379
Tfasc_v1.00031-RA	90	16	65	304	350	409	222	166	189	91	164	112	142	57	107	39	57	66	9	7	14	155	263	144
Tfasc_v1.00032-RA	24	1	11	99	128	169	104	72	46	28	20	36	44	22	40	20	10	10	5	2	6	32	57	29
Tfasc_v1.00033-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfasc_v1.00034-RA	614	379	362	378	191	228	335	185	139	407	319	370	357	474	719	387	206	256	98	183	252	316	798	597
Tfasc_v1.00035-RA	0	3	3	8	20	15	3	12	0	11	6	4	8	9	10	13	2	0	0	0	0	0	6	2
Tfasc_v1.00036-RA	2061	3822	1519	2284	320	216	939	281	198	2383	878	2660	3663	4244	1880	4970	1253	732	566	395	493	3255	4915	2249
Tfasc_v1.00037-RA	792	625	729	639	529	573	667	690	844	739	464	502	705	1219	1095	607	291	283	739	654	611	494	838	1037
Tfasc_v1.00038-RA	1221	1636	1131	1659	1474	1229	1368	1357	1216	1989	1132	1545	1532	1636	2136	1453	923	963	967	881	1087	1199	1505	1200
