Category	ID	Term	Genes	adj_pval
BP	GO:1902047	polyamine transmembrane transport	Tfasc_v1.22984-RA, Tfasc_v1.23004-RA	0.00028
BP	GO:0015867	ATP transport	Tfasc_v1.00309-RA, Tfasc_v1.08739-RA, Tfasc_v1.12398-RA, Tfasc_v1.14941-RA	0.00054
BP	GO:0006012	galactose metabolic process	Tfasc_v1.09735-RA, Tfasc_v1.27689-RA, Tfasc_v1.27690-RA	0.00072
BP	GO:0035435	phosphate ion transmembrane transport	Tfasc_v1.08187-RA, Tfasc_v1.08739-RA	0.00245
BP	GO:0055085	transmembrane transport	Tfasc_v1.00309-RA, Tfasc_v1.00554-RA, Tfasc_v1.01863-RA, Tfasc_v1.02211-RA, Tfasc_v1.02252-RA, Tfasc_v1.03204-RA, Tfasc_v1.04827-RA, Tfasc_v1.06871-RA, Tfasc_v1.07492-RA, Tfasc_v1.08187-RA, Tfasc_v1.08739-RA, Tfasc_v1.09195-RA, Tfasc_v1.11129-RA, Tfasc_v1.12398-RA, Tfasc_v1.14941-RA, Tfasc_v1.16231-RA, Tfasc_v1.18298-RA, Tfasc_v1.22984-RA, Tfasc_v1.23004-RA, Tfasc_v1.29710-RA, Tfasc_v1.30089-RA	0.00381
BP	GO:0009959	negative gravitropism	Tfasc_v1.24163-RA, Tfasc_v1.33679-RA	0.00459
BP	GO:0015709	thiosulfate transport	Tfasc_v1.08739-RA	0.00684
BP	GO:1902184	negative regulation of shoot apical meristem development	Tfasc_v1.26716-RA	0.00684
BP	GO:0015839	cadaverine transport	Tfasc_v1.01863-RA	0.00684
BP	GO:0089709	L-histidine transmembrane transport	Tfasc_v1.14941-RA	0.00684
BP	GO:1902603	carnitine transmembrane transport	Tfasc_v1.01863-RA	0.00684
BP	GO:0006865	amino acid transport	Tfasc_v1.14941-RA, Tfasc_v1.30089-RA	0.01356
BP	GO:0010044	response to aluminum ion	Tfasc_v1.08187-RA	0.01363
BP	GO:1990052	ER to chloroplast lipid transport	Tfasc_v1.03475-RA	0.01363
BP	GO:0071422	succinate transmembrane transport	Tfasc_v1.08739-RA	0.01363
BP	GO:0080065	4-alpha-methyl-delta7-sterol oxidation	Tfasc_v1.14320-RA	0.01363
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	Tfasc_v1.08739-RA	0.01363
BP	GO:0048250	iron import into the mitochondrion	Tfasc_v1.00309-RA	0.01363
BP	GO:0006844	acyl carnitine transport	Tfasc_v1.14941-RA	0.01363
BP	GO:0009590	detection of gravity	Tfasc_v1.07880-RA	0.01363
BP	GO:0042542	response to hydrogen peroxide	Tfasc_v1.14688-RA, Tfasc_v1.33258-RA	0.01454
BP	GO:0017014	protein nitrosylation	Tfasc_v1.33258-RA	0.02037
BP	GO:0033355	ascorbate glutathione cycle	Tfasc_v1.00145-RA	0.02037
BP	GO:1903826	L-arginine transmembrane transport	Tfasc_v1.14941-RA	0.02037
BP	GO:0032955	regulation of division septum assembly	Tfasc_v1.12076-RA	0.02037
BP	GO:0033484	intracellular nitric oxide homeostasis	Tfasc_v1.33258-RA	0.02037
